country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"IRL","FRA",1,3,4,1,3,15,1,"EURO"
"ESP","FRA",1,3,3,3,3,2160,1,"EURO"
"MEX","FRA",1,3,4,3,6,4,1,"EURO"
"NZL","FRA",1,3,3,2,3,3,1,"EURO"
"MEX","FRA",1,3,3,1,6,300,1,"EURO"
"ESP","FRA",1,3,4,3,3,20,1,"EURO"
"GRC","FRA",1,3,3,3,7,3,1,"EURO"
"IRL","FRA",1,3,3,3,8,15,1,"EURO"
"CZE","FRA",1,3,3,1,3,64,1,"EURO"
"NOR","FRA",1,3,3,1,4,158,1,"EURO"
"GRC","FRA",1,3,4,3,8,5,1,"EURO"
"HUN","FRA",1,3,34,2,4,1,1,"EURO"
"NOR","FRA",1,3,3,2,5,7,1,"EURO"
"HUN","FRA",1,3,34,1,5,22,1,"EURO"
"NZL","FRA",1,3,4,1,2,12,1,"EURO"
"NOR","FRA",1,3,3,3,7,2,1,"EURO"
"MEX","FRA",1,3,3,1,7,26,1,"EURO"
"ESP","FRA",1,3,3,1,9,1720,1,"EURO"
"NZL","FRA",1,3,3,3,8,9,1,"EURO"
"SWE","FRA",1,3,4,1,2,5,1,"EURO"
"ESP","FRA",1,3,4,2,3,20,1,"EURO"
"CAN","FRA",1,3,3,3,4,2425,1,"EURO"
"FIN","FRA",1,3,4,1,6,1,1,"EURO"
"SWE","FRA",1,3,3,3,2,90,1,"EURO"
"SWE","FRA",1,3,4,1,3,15,1,"EURO"
"CZE","FRA",1,3,3,2,99,1,1,"EURO"
"AUS","FRA",1,3,3,1,8,301,1,"EURO"
"GRC","FRA",1,3,3,3,9,18,1,"EURO"
"SWE","FRA",1,3,4,3,6,10,1,"EURO"
"MEX","FRA",1,3,3,3,7,9,1,"EURO"
"MEX","FRA",1,3,3,3,8,54,1,"EURO"
"MEX","FRA",1,3,4,1,6,36,1,"EURO"
"HUN","FRA",1,3,34,3,2,46,1,"EURO"
"NOR","FRA",1,3,4,1,3,11,1,"EURO"
"FIN","FRA",1,3,3,1,6,31,1,"EURO"
"DNK","FRA",1,3,3,1,4,70,1,"EURO"
"MEX","FRA",1,3,4,1,8,18,1,"EURO"
"NZL","FRA",1,3,3,3,2,6,1,"EURO"
"CZE","FRA",1,3,3,3,3,31,1,"EURO"
"FIN","FRA",1,3,3,3,99,1,1,"EURO"
"DNK","FRA",1,3,3,3,6,2,1,"EURO"
"MEX","FRA",1,3,4,2,3,2,1,"EURO"
"FIN","FRA",1,3,3,3,9,4,1,"EURO"
"CZE","FRA",1,3,3,1,5,14,1,"EURO"
"AUS","FRA",1,3,4,1,3,58,1,"EURO"
"CAN","FRA",1,3,3,3,6,1205,1,"EURO"
"CAN","FRA",1,3,4,1,3,325,1,"EURO"
"DNK","FRA",1,3,3,3,1,24,1,"EURO"
"IRL","FRA",1,3,4,3,7,3,1,"EURO"
"IRL","FRA",1,3,4,1,5,39,1,"EURO"
"DNK","FRA",1,3,3,2,3,4,1,"EURO"
"AUS","FRA",1,3,4,3,5,13,1,"EURO"
"MEX","FRA",1,3,4,2,5,1,1,"EURO"
"IRL","FRA",1,3,4,1,8,9,1,"EURO"
"DNK","FRA",1,3,3,1,3,149,1,"EURO"
"SWE","FRA",1,3,3,3,9,10,1,"EURO"
"NOR","FRA",1,3,3,1,8,69,1,"EURO"
"SVK","FRA",1,3,3,3,6,27,1,"EURO"
"MEX","FRA",1,3,3,2,2,1,1,"EURO"
"CAN","FRA",1,3,3,2,7,35,1,"EURO"
"NOR","FRA",1,3,4,1,6,5,1,"EURO"
"ESP","FRA",1,3,4,3,,20,1,"EURO"
"MEX","FRA",1,3,4,1,2,12,1,"EURO"
"AUT","FRA",1,3,34,3,7,1,1,"EURO"
"MEX","FRA",1,3,3,3,2,49,1,"EURO"
"AUS","FRA",1,3,3,2,8,6,1,"EURO"
"ESP","FRA",1,3,4,1,8,140,1,"EURO"
"CAN","FRA",1,3,3,3,1,60,1,"EURO"
"SVK","FRA",1,3,3,3,7,6,1,"EURO"
"SVK","FRA",1,3,3,3,8,8,1,"EURO"
"CAN","FRA",1,3,3,3,5,1125,1,"EURO"
"ESP","FRA",1,3,3,2,8,260,1,"EURO"
"SWE","FRA",1,3,3,1,2,145,1,"EURO"
"DNK","FRA",1,3,3,2,5,5,1,"EURO"
"NZL","FRA",1,3,3,2,4,6,1,"EURO"
"GRC","FRA",1,3,4,2,6,1,1,"EURO"
"AUT","FRA",1,3,34,1,7,13,1,"EURO"
"HUN","FRA",1,3,34,1,9,7,1,"EURO"
"GRC","FRA",1,3,3,3,4,172,1,"EURO"
"AUS","FRA",1,3,3,1,6,463,1,"EURO"
"AUT","FRA",1,3,34,3,9,10,1,"EURO"
"GRC","FRA",1,3,3,2,2,6,1,"EURO"
"GRC","FRA",1,3,3,1,8,77,1,"EURO"
"HUN","FRA",1,3,34,1,4,97,1,"EURO"
"AUT","FRA",1,3,34,1,99,107,1,"EURO"
"MEX","FRA",1,3,4,3,9,1,1,"EURO"
"GRC","FRA",1,3,3,1,5,85,1,"EURO"
"GRC","FRA",1,3,3,1,3,396,1,"EURO"
"GRC","FRA",1,3,3,1,9,66,1,"EURO"
"ESP","FRA",1,3,3,1,6,6380,1,"EURO"
"CAN","FRA",1,3,4,1,4,265,1,"EURO"
"CAN","FRA",1,3,3,2,8,75,1,"EURO"
"ESP","FRA",1,3,4,3,8,100,1,"EURO"
"IRL","FRA",1,3,4,1,99,21,1,"EURO"
"SVK","FRA",1,3,3,1,3,1,1,"EURO"
"GRC","FRA",1,3,3,3,3,255,1,"EURO"
"MEX","FRA",1,3,3,99,3,1,1,"EURO"
"AUT","FRA",1,3,34,2,8,1,1,"EURO"
"HUN","FRA",1,3,34,3,3,20,1,"EURO"
"CZE","FRA",1,3,4,3,2,1,1,"EURO"
"ESP","FRA",1,3,3,3,2,1000,1,"EURO"
"ESP","FRA",1,3,3,2,,40,1,"EURO"
"ESP","FRA",1,3,3,2,9,340,1,"EURO"
"GRC","FRA",1,3,4,3,5,1,1,"EURO"
"FIN","FRA",1,3,4,2,3,1,1,"EURO"
"GRC","FRA",1,3,4,3,3,10,1,"EURO"
"AUS","FRA",1,3,3,2,9,8,1,"EURO"
"ESP","FRA",1,3,3,1,2,2040,1,"EURO"
"AUS","FRA",1,3,3,2,7,5,1,"EURO"
"AUS","FRA",1,3,4,3,8,12,1,"EURO"
"ESP","FRA",1,3,3,1,8,2280,1,"EURO"
"AUT","FRA",1,3,34,1,4,303,1,"EURO"
"DNK","FRA",1,3,4,3,4,1,1,"EURO"
"NZL","FRA",1,3,3,1,5,27,1,"EURO"
"IRL","FRA",1,3,3,2,2,6,1,"EURO"
"AUS","FRA",1,3,4,1,6,21,1,"EURO"
"AUS","FRA",1,3,4,1,5,126,1,"EURO"
"SVK","FRA",1,3,4,3,3,3,1,"EURO"
"CAN","FRA",1,3,4,2,5,25,1,"EURO"
"DNK","FRA",1,3,3,2,8,1,1,"EURO"
"IRL","FRA",1,3,4,3,5,6,1,"EURO"
"CZE","FRA",1,3,3,2,1,1,1,"EURO"
"GRC","FRA",1,3,4,2,5,1,1,"EURO"
"NOR","FRA",1,3,4,1,8,9,1,"EURO"
"CZE","FRA",1,3,3,3,99,19,1,"EURO"
"AUS","FRA",1,3,3,1,99,100,1,"EURO"
"NOR","FRA",1,3,3,2,2,1,1,"EURO"
"SVK","FRA",1,3,4,3,4,3,1,"EURO"
"FIN","FRA",1,3,3,2,7,1,1,"EURO"
"NZL","FRA",1,3,4,1,5,24,1,"EURO"
"GRC","FRA",1,3,4,1,4,19,1,"EURO"
"CZE","FRA",1,3,3,3,6,37,1,"EURO"
"ESP","FRA",1,3,3,3,7,100,1,"EURO"
"NZL","FRA",1,3,4,3,4,9,1,"EURO"
"CAN","FRA",1,3,3,2,9,90,1,"EURO"
"NOR","FRA",1,3,4,3,5,6,1,"EURO"
"FIN","FRA",1,3,3,2,8,2,1,"EURO"
"DNK","FRA",1,3,3,1,6,18,1,"EURO"
"FIN","FRA",1,3,4,1,5,2,1,"EURO"
"CZE","FRA",1,3,4,1,7,1,1,"EURO"
"NZL","FRA",1,3,4,1,8,9,1,"EURO"
"NZL","FRA",1,3,3,2,99,6,1,"EURO"
"NZL","FRA",1,3,4,1,4,39,1,"EURO"
"DNK","FRA",1,3,3,3,3,44,1,"EURO"
"SVK","FRA",1,3,3,2,6,1,1,"EURO"
"SVK","FRA",1,3,3,2,4,1,1,"EURO"
"MEX","FRA",1,3,4,3,3,22,1,"EURO"
"DNK","FRA",1,3,4,1,6,1,1,"EURO"
"NOR","FRA",1,3,3,1,6,39,1,"EURO"
"ESP","FRA",1,3,4,1,3,180,1,"EURO"
"MEX","FRA",1,3,4,3,2,5,1,"EURO"
"CAN","FRA",1,3,4,3,6,25,1,"EURO"
"NZL","FRA",1,3,4,1,3,33,1,"EURO"
"NZL","FRA",1,3,3,3,4,21,1,"EURO"
"NOR","FRA",1,3,3,3,8,22,1,"EURO"
"CZE","FRA",1,3,4,3,8,1,1,"EURO"
"GRC","FRA",1,3,4,2,8,1,1,"EURO"
"CAN","FRA",1,3,3,3,7,80,1,"EURO"
"IRL","FRA",1,3,3,1,8,39,1,"EURO"
"CAN","FRA",1,3,4,3,4,30,1,"EURO"
"IRL","FRA",1,3,3,3,6,30,1,"EURO"
"DNK","FRA",1,3,3,3,4,25,1,"EURO"
"FIN","FRA",1,3,3,1,3,32,1,"EURO"
"CAN","FRA",1,3,3,2,3,280,1,"EURO"
"ESP","FRA",1,3,3,3,8,960,1,"EURO"
"FIN","FRA",1,3,3,3,7,3,1,"EURO"
"CZE","FRA",1,3,4,3,99,1,1,"EURO"
"ESP","FRA",1,3,4,3,6,100,1,"EURO"
"CAN","FRA",1,3,3,1,1,90,1,"EURO"
"GRC","FRA",1,3,3,3,5,48,1,"EURO"
"NOR","FRA",1,3,3,3,1,19,1,"EURO"
"IRL","FRA",1,3,3,2,6,9,1,"EURO"
"IRL","FRA",1,3,4,2,3,3,1,"EURO"
"MEX","FRA",1,3,4,1,99,47,1,"EURO"
"SWE","FRA",1,3,3,2,2,10,1,"EURO"
"NOR","FRA",1,3,3,2,6,1,1,"EURO"
"DNK","FRA",1,3,3,3,2,98,1,"EURO"
"SWE","FRA",1,3,4,1,6,55,1,"EURO"
"CZE","FRA",1,3,4,2,99,1,1,"EURO"
"FIN","FRA",1,3,4,3,6,1,1,"EURO"
"FIN","FRA",1,3,4,1,8,2,1,"EURO"
"IRL","FRA",1,3,4,1,6,6,1,"EURO"
"CAN","FRA",1,3,4,1,5,850,1,"EURO"
"FIN","FRA",1,3,3,2,6,3,1,"EURO"
"NZL","FRA",1,3,3,1,9,15,1,"EURO"
"CAN","FRA",1,3,4,3,3,75,1,"EURO"
"CZE","FRA",1,3,3,99,3,2,1,"EURO"
"AUS","FRA",1,3,4,3,3,8,1,"EURO"
"HUN","FRA",1,3,34,2,2,1,1,"EURO"
"AUS","FRA",1,3,4,1,2,4,1,"EURO"
"HUN","FRA",1,3,34,3,99,1,1,"EURO"
"CZE","FRA",1,3,3,2,3,3,1,"EURO"
"AUS","FRA",1,3,3,2,6,25,1,"EURO"
"AUT","FRA",1,3,34,1,9,24,1,"EURO"
"MEX","FRA",1,3,4,2,4,2,1,"EURO"
"IRL","FRA",1,3,3,2,9,9,1,"EURO"
"CAN","FRA",1,3,3,1,5,3910,1,"EURO"
"GRC","FRA",1,3,3,3,6,69,1,"EURO"
"GRC","FRA",1,3,4,1,8,5,1,"EURO"
"NZL","FRA",1,3,4,1,6,12,1,"EURO"
"CZE","FRA",1,3,3,1,8,8,1,"EURO"
"GRC","FRA",1,3,4,1,6,7,1,"EURO"
"SWE","FRA",1,3,4,3,3,5,1,"EURO"
"IRL","FRA",1,3,3,2,1,33,1,"EURO"
"IRL","FRA",1,3,3,2,3,33,1,"EURO"
"IRL","FRA",1,3,3,1,3,555,1,"EURO"
"NOR","FRA",1,3,3,3,9,8,1,"EURO"
"GRC","FRA",1,3,3,2,8,8,1,"EURO"
"CAN","FRA",1,3,3,1,7,570,1,"EURO"
"ESP","FRA",1,3,4,1,6,220,1,"EURO"
"SVK","FRA",1,3,3,1,4,1,1,"EURO"
"MEX","FRA",1,3,3,1,3,269,1,"EURO"
"CZE","FRA",1,3,3,1,9,9,1,"EURO"
"GRC","FRA",1,3,4,3,6,1,1,"EURO"
"NOR","FRA",1,3,3,3,5,28,1,"EURO"
"SWE","FRA",1,3,4,1,8,20,1,"EURO"
"CAN","FRA",1,3,3,1,4,9210,1,"EURO"
"IRL","FRA",1,3,3,1,7,33,1,"EURO"
"ESP","FRA",1,3,3,1,7,320,1,"EURO"
"ESP","FRA",1,3,4,3,4,140,1,"EURO"
"SVK","FRA",1,3,4,3,8,1,1,"EURO"
"AUS","FRA",1,3,3,1,9,189,1,"EURO"
"AUT","FRA",1,3,34,2,5,2,1,"EURO"
"NOR","FRA",1,3,4,1,2,1,1,"EURO"
"NOR","FRA",1,3,3,2,1,2,1,"EURO"
"NZL","FRA",1,3,4,3,99,6,1,"EURO"
"SWE","FRA",1,3,3,3,99,65,1,"EURO"
"MEX","FRA",1,3,3,3,4,267,1,"EURO"
"NZL","FRA",1,3,3,3,6,15,1,"EURO"
"NZL","FRA",1,3,4,3,8,6,1,"EURO"
"FIN","FRA",1,3,3,3,5,2,1,"EURO"
"SWE","FRA",1,3,4,1,4,25,1,"EURO"
"FIN","FRA",1,3,3,1,8,12,1,"EURO"
"NZL","FRA",1,3,3,2,8,3,1,"EURO"
"ESP","FRA",1,3,4,1,4,280,1,"EURO"
"MEX","FRA",1,3,4,1,4,95,1,"EURO"
"CAN","FRA",1,3,3,1,8,2225,1,"EURO"
"SWE","FRA",1,3,4,3,5,30,1,"EURO"
"AUS","FRA",1,3,3,1,7,49,1,"EURO"
"HUN","FRA",1,3,34,1,6,49,1,"EURO"
"AUT","FRA",1,3,34,1,6,139,1,"EURO"
"AUS","FRA",1,3,3,1,3,617,1,"EURO"
"DNK","FRA",1,3,3,2,7,5,1,"EURO"
"GRC","FRA",1,3,4,1,3,20,1,"EURO"
"GRC","FRA",1,3,3,3,8,59,1,"EURO"
"NZL","FRA",1,3,3,1,4,78,1,"EURO"
"GRC","FRA",1,3,3,2,5,4,1,"EURO"
"AUS","FRA",1,3,3,3,4,315,1,"EURO"
"FIN","FRA",1,3,3,3,3,17,1,"EURO"
"AUT","FRA",1,3,34,2,6,7,1,"EURO"
"FIN","FRA",1,3,3,2,4,4,1,"EURO"
"NOR","FRA",1,3,3,2,4,9,1,"EURO"
"NZL","FRA",1,3,3,2,6,3,1,"EURO"
"SWE","FRA",1,3,4,1,99,10,1,"EURO"
"ESP","FRA",1,3,3,3,6,3020,1,"EURO"
"ESP","FRA",1,3,3,2,3,320,1,"EURO"
"DNK","FRA",1,3,4,1,7,3,1,"EURO"
"GRC","FRA",1,3,3,1,4,376,1,"EURO"
"SWE","FRA",1,3,3,1,5,125,1,"EURO"
"IRL","FRA",1,3,3,1,99,501,1,"EURO"
"FIN","FRA",1,3,4,3,3,2,1,"EURO"
"SWE","FRA",1,3,4,1,5,85,1,"EURO"
"CZE","FRA",1,3,3,1,7,8,1,"EURO"
"DNK","FRA",1,3,3,1,2,188,1,"EURO"
"CZE","FRA",1,3,4,3,4,3,1,"EURO"
"NZL","FRA",1,3,4,1,7,3,1,"EURO"
"AUS","FRA",1,3,3,3,7,12,1,"EURO"
"CAN","FRA",1,3,4,3,7,15,1,"EURO"
"MEX","FRA",1,3,3,3,1,12,1,"EURO"
"AUS","FRA",1,3,4,1,8,38,1,"EURO"
"CZE","FRA",1,3,4,1,3,7,1,"EURO"
"MEX","FRA",1,3,3,1,4,487,1,"EURO"
"CZE","FRA",1,3,4,2,5,1,1,"EURO"
"CAN","FRA",1,3,4,1,8,250,1,"EURO"
"DNK","FRA",1,3,3,3,8,9,1,"EURO"
"FIN","FRA",1,3,3,2,3,3,1,"EURO"
"DNK","FRA",1,3,3,2,1,4,1,"EURO"
"NZL","FRA",1,3,3,1,6,27,1,"EURO"
"SVK","FRA",1,3,4,3,6,2,1,"EURO"
"CAN","FRA",1,3,3,1,2,2155,1,"EURO"
"GRC","FRA",1,3,3,2,9,10,1,"EURO"
"CZE","FRA",1,3,3,3,4,34,1,"EURO"
"NZL","FRA",1,3,4,3,3,9,1,"EURO"
"AUS","FRA",1,3,3,2,5,20,1,"EURO"
"CZE","FRA",1,3,3,3,9,6,1,"EURO"
"IRL","FRA",1,3,3,2,5,21,1,"EURO"
"CAN","FRA",1,3,3,1,6,3915,1,"EURO"
"SVK","FRA",1,3,3,3,9,4,1,"EURO"
"IRL","FRA",1,3,3,3,1,141,1,"EURO"
"NZL","FRA",1,3,4,1,99,15,1,"EURO"
"SWE","FRA",1,3,3,2,4,30,1,"EURO"
"SVK","FRA",1,3,4,1,2,1,1,"EURO"
"AUT","FRA",1,3,34,2,99,1,1,"EURO"
"IRL","FRA",1,3,3,2,4,42,1,"EURO"
"CZE","FRA",1,3,4,1,4,8,1,"EURO"
"SWE","FRA",1,3,3,2,6,15,1,"EURO"
"AUT","FRA",1,3,34,3,6,45,1,"EURO"
"NOR","FRA",1,3,4,1,4,9,1,"EURO"
"CAN","FRA",1,3,4,1,2,60,1,"EURO"
"NZL","FRA",1,3,3,1,99,30,1,"EURO"
"CZE","FRA",1,3,4,1,6,5,1,"EURO"
"MEX","FRA",1,3,3,3,99,70,1,"EURO"
"CAN","FRA",1,3,3,3,3,1655,1,"EURO"
"DNK","FRA",1,3,3,3,7,41,1,"EURO"
"AUS","FRA",1,3,3,3,3,258,1,"EURO"
"CAN","FRA",1,3,3,2,1,10,1,"EURO"
"NOR","FRA",1,3,3,2,8,1,1,"EURO"
"NOR","FRA",1,3,3,3,6,8,1,"EURO"
"ESP","FRA",1,3,3,2,7,20,1,"EURO"
"SWE","FRA",1,3,3,1,9,20,1,"EURO"
"CAN","FRA",1,3,3,2,4,695,1,"EURO"
"HUN","FRA",1,3,34,3,6,36,1,"EURO"
"GRC","FRA",1,3,3,1,2,51,1,"EURO"
"MEX","FRA",1,3,3,3,5,37,1,"EURO"
"MEX","FRA",1,3,3,1,9,95,1,"EURO"
"SWE","FRA",1,3,4,3,99,5,1,"EURO"
"SVK","FRA",1,3,4,3,99,2,1,"EURO"
"FIN","FRA",1,3,4,1,3,3,1,"EURO"
"AUT","FRA",1,3,34,3,8,17,1,"EURO"
"GRC","FRA",1,3,4,3,4,5,1,"EURO"
"AUT","FRA",1,3,34,1,2,91,1,"EURO"
"SWE","FRA",1,3,3,1,8,125,1,"EURO"
"CZE","FRA",1,3,3,1,99,34,1,"EURO"
"GRC","FRA",1,3,4,1,5,16,1,"EURO"
"IRL","FRA",1,3,3,1,5,312,1,"EURO"
"CZE","FRA",1,3,3,3,5,6,1,"EURO"
"IRL","FRA",1,3,3,3,5,72,1,"EURO"
"SWE","FRA",1,3,3,1,4,325,1,"EURO"
"MEX","FRA",1,3,3,2,6,5,1,"EURO"
"NOR","FRA",1,3,3,1,1,44,1,"EURO"
"FIN","FRA",1,3,3,1,2,8,1,"EURO"
"CZE","FRA",1,3,3,99,99,1,1,"EURO"
"AUT","FRA",1,3,34,3,99,25,1,"EURO"
"NOR","FRA",1,3,3,1,5,98,1,"EURO"
"NZL","FRA",1,3,3,1,8,21,1,"EURO"
"CAN","FRA",1,3,4,1,7,10,1,"EURO"
"GRC","FRA",1,3,4,2,2,1,1,"EURO"
"NOR","FRA",1,3,3,1,7,5,1,"EURO"
"NZL","FRA",1,3,3,3,3,18,1,"EURO"
"AUS","FRA",1,3,3,3,99,44,1,"EURO"
"IRL","FRA",1,3,4,3,99,3,1,"EURO"
"MEX","FRA",1,3,3,1,2,88,1,"EURO"
"CAN","FRA",1,3,3,2,2,55,1,"EURO"
"GRC","FRA",1,3,3,3,2,37,1,"EURO"
"GRC","FRA",1,3,3,3,99,123,1,"EURO"
"MEX","FRA",1,3,4,1,7,9,1,"EURO"
"NZL","FRA",1,3,3,2,5,3,1,"EURO"
"GRC","FRA",1,3,3,1,6,167,1,"EURO"
"MEX","FRA",1,3,4,1,5,43,1,"EURO"
"MEX","FRA",1,3,4,3,4,29,1,"EURO"
"SWE","FRA",1,3,3,1,6,185,1,"EURO"
"DNK","FRA",1,3,4,1,5,6,1,"EURO"
"MEX","FRA",1,3,3,1,8,45,1,"EURO"
"SVK","FRA",1,3,3,1,5,1,1,"EURO"
"AUT","FRA",1,3,34,2,3,20,1,"EURO"
"ESP","FRA",1,3,3,2,4,1000,1,"EURO"
"IRL","FRA",1,3,4,1,1,9,1,"EURO"
"AUT","FRA",1,3,34,3,5,18,1,"EURO"
"DNK","FRA",1,3,3,1,5,130,1,"EURO"
"AUS","FRA",1,3,3,3,9,50,1,"EURO"
"NZL","FRA",1,3,3,3,9,3,1,"EURO"
"AUS","FRA",1,3,3,3,6,119,1,"EURO"
"NOR","FRA",1,3,3,3,99,6,1,"EURO"
"NZL","FRA",1,3,3,1,2,15,1,"EURO"
"CZE","FRA",1,3,3,2,8,1,1,"EURO"
"AUT","FRA",1,3,34,3,4,74,1,"EURO"
"AUS","FRA",1,3,3,2,2,18,1,"EURO"
"AUS","FRA",1,3,3,3,2,111,1,"EURO"
"ESP","FRA",1,3,3,2,6,880,1,"EURO"
"ESP","FRA",1,3,3,3,4,3360,1,"EURO"
"FIN","FRA",1,3,3,1,5,4,1,"EURO"
"SVK","FRA",1,3,3,1,99,14,1,"EURO"
"DNK","FRA",1,3,3,2,2,13,1,"EURO"
"FIN","FRA",1,3,3,3,2,5,1,"EURO"
"GRC","FRA",1,3,4,3,99,11,1,"EURO"
"ESP","FRA",1,3,3,1,3,3580,1,"EURO"
"CAN","FRA",1,3,3,3,9,345,1,"EURO"
"AUT","FRA",1,3,34,1,1,3,1,"EURO"
"IRL","FRA",1,3,4,2,5,3,1,"EURO"
"ESP","FRA",1,3,3,2,2,140,1,"EURO"
"CZE","FRA",1,3,3,1,2,25,1,"EURO"
"DNK","FRA",1,3,3,1,8,34,1,"EURO"
"AUT","FRA",1,3,34,2,9,2,1,"EURO"
"MEX","FRA",1,3,3,1,5,93,1,"EURO"
"NOR","FRA",1,3,4,1,5,38,1,"EURO"
"AUS","FRA",1,3,3,3,5,97,1,"EURO"
"NOR","FRA",1,3,3,3,4,48,1,"EURO"
"GRC","FRA",1,3,3,2,99,8,1,"EURO"
"SVK","FRA",1,3,3,3,1,18,1,"EURO"
"FIN","FRA",1,3,3,3,6,5,1,"EURO"
"ESP","FRA",1,3,3,3,9,620,1,"EURO"
"ESP","FRA",1,3,4,1,,20,1,"EURO"
"MEX","FRA",1,3,4,3,99,6,1,"EURO"
"NOR","FRA",1,3,3,1,3,128,1,"EURO"
"SVK","FRA",1,3,3,3,3,4,1,"EURO"
"SWE","FRA",1,3,3,3,5,125,1,"EURO"
"NOR","FRA",1,3,3,3,3,62,1,"EURO"
"NOR","FRA",1,3,4,2,8,1,1,"EURO"
"FIN","FRA",1,3,3,3,8,2,1,"EURO"
"NOR","FRA",1,3,4,3,3,2,1,"EURO"
"AUS","FRA",1,3,3,1,2,416,1,"EURO"
"CZE","FRA",1,3,3,2,6,2,1,"EURO"
"AUT","FRA",1,3,34,2,4,19,1,"EURO"
"SWE","FRA",1,3,4,3,7,5,1,"EURO"
"NOR","FRA",1,3,3,3,2,22,1,"EURO"
"NZL","FRA",1,3,3,3,99,9,1,"EURO"
"CAN","FRA",1,3,4,3,5,105,1,"EURO"
"IRL","FRA",1,3,3,1,1,561,1,"EURO"
"MEX","FRA",1,3,3,1,99,214,1,"EURO"
"NOR","FRA",1,3,3,1,99,17,1,"EURO"
"MEX","FRA",1,3,3,2,5,1,1,"EURO"
"CAN","FRA",1,3,3,1,9,1600,1,"EURO"
"AUT","FRA",1,3,34,1,3,408,1,"EURO"
"MEX","FRA",1,3,3,2,4,7,1,"EURO"
"CZE","FRA",1,3,3,3,7,6,1,"EURO"
"CZE","FRA",1,3,3,2,4,4,1,"EURO"
"ESP","FRA",1,3,3,1,4,6900,1,"EURO"
"MEX","FRA",1,3,3,2,1,1,1,"EURO"
"AUS","FRA",1,3,4,1,4,18,1,"EURO"
"HUN","FRA",1,3,34,3,9,8,1,"EURO"
"SVK","FRA",1,3,3,3,4,17,1,"EURO"
"IRL","FRA",1,3,3,1,2,54,1,"EURO"
"MEX","FRA",1,3,4,3,5,6,1,"EURO"
"CAN","FRA",1,3,4,3,8,40,1,"EURO"
"CAN","FRA",1,3,4,3,2,15,1,"EURO"
"IRL","FRA",1,3,3,3,3,156,1,"EURO"
"IRL","FRA",1,3,3,1,9,291,1,"EURO"
"CZE","FRA",1,3,3,1,6,65,1,"EURO"
"NZL","FRA",1,3,3,1,7,9,1,"EURO"
"HUN","FRA",1,3,34,3,8,13,1,"EURO"
"CAN","FRA",1,3,4,1,6,260,1,"EURO"
"AUS","FRA",1,3,3,2,3,39,1,"EURO"
"CAN","FRA",1,3,4,2,4,35,1,"EURO"
"DNK","FRA",1,3,4,1,3,1,1,"EURO"
"CAN","FRA",1,3,3,2,5,235,1,"EURO"
"SWE","FRA",1,3,3,1,3,165,1,"EURO"
"MEX","FRA",1,3,3,2,3,5,1,"EURO"
"SWE","FRA",1,3,3,3,8,55,1,"EURO"
"DNK","FRA",1,3,4,3,5,1,1,"EURO"
"SVK","FRA",1,3,3,3,99,9,1,"EURO"
"GRC","FRA",1,3,3,2,6,12,1,"EURO"
"NZL","FRA",1,3,3,2,2,3,1,"EURO"
"NZL","FRA",1,3,4,2,3,3,1,"EURO"
"NZL","FRA",1,3,3,1,3,36,1,"EURO"
"MEX","FRA",1,3,4,1,3,77,1,"EURO"
"SWE","FRA",1,3,3,3,6,125,1,"EURO"
"CZE","FRA",1,3,4,1,99,2,1,"EURO"
"CAN","FRA",1,3,3,3,8,895,1,"EURO"
"AUT","FRA",1,3,34,3,1,1,1,"EURO"
"CZE","FRA",1,3,3,3,2,21,1,"EURO"
"AUS","FRA",1,3,3,2,4,72,1,"EURO"
"MEX","FRA",1,3,3,3,9,15,1,"EURO"
"HUN","FRA",1,3,34,3,7,5,1,"EURO"
"HUN","FRA",1,3,34,3,5,5,1,"EURO"
"CZE","FRA",1,3,4,1,5,5,1,"EURO"
"NZL","FRA",1,3,4,2,4,3,1,"EURO"
"CZE","FRA",1,3,3,3,8,10,1,"EURO"
"CZE","FRA",1,3,4,3,7,1,1,"EURO"
"AUT","FRA",1,3,34,1,8,56,1,"EURO"
"HUN","FRA",1,3,34,3,4,57,1,"EURO"
"NOR","FRA",1,3,3,2,99,1,1,"EURO"
"IRL","FRA",1,3,3,3,2,15,1,"EURO"
"IRL","FRA",1,3,3,3,99,84,1,"EURO"
"ESP","FRA",1,3,3,1,,600,1,"EURO"
"SWE","FRA",1,3,3,1,7,10,1,"EURO"
"GRC","FRA",1,3,4,1,99,4,1,"EURO"
"MEX","FRA",1,3,3,1,1,21,1,"EURO"
"NOR","FRA",1,3,3,1,9,14,1,"EURO"
"IRL","FRA",1,3,4,2,99,3,1,"EURO"
"GRC","FRA",1,3,3,1,7,5,1,"EURO"
"AUS","FRA",1,3,3,1,4,976,1,"EURO"
"GRC","FRA",1,3,4,2,4,1,1,"EURO"
"AUT","FRA",1,3,34,1,5,84,1,"EURO"
"SWE","FRA",1,3,4,2,99,5,1,"EURO"
"SWE","FRA",1,3,4,2,5,5,1,"EURO"
"CAN","FRA",1,3,3,2,6,260,1,"EURO"
"NOR","FRA",1,3,4,3,8,1,1,"EURO"
"GRC","FRA",1,3,3,2,3,38,1,"EURO"
"NOR","FRA",1,3,4,3,4,1,1,"EURO"
"AUS","FRA",1,3,3,3,8,98,1,"EURO"
