country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"CAN","AFG",1,3,4,3,5,10,0,"ASIA"
"SVK","AFG",1,3,3,1,7,1,0,"ASIA"
"NOR","AFG",1,3,3,3,8,4,0,"ASIA"
"CAN","AFG",1,3,3,1,4,610,0,"ASIA"
"SWE","AFG",1,3,3,1,6,70,0,"ASIA"
"NOR","AFG",1,3,3,1,99,2,0,"ASIA"
"DNK","AFG",1,3,3,2,7,2,0,"ASIA"
"NZL","AFG",1,3,3,3,99,6,0,"ASIA"
"SVK","AFG",1,3,3,1,8,24,0,"ASIA"
"CAN","AFG",1,3,4,1,7,10,0,"ASIA"
"CZE","AFG",1,3,3,1,6,10,0,"ASIA"
"CAN","AFG",1,3,3,3,8,255,0,"ASIA"
"SVK","AFG",1,3,3,1,99,2,0,"ASIA"
"NOR","AFG",1,3,4,3,2,2,0,"ASIA"
"AUS","AFG",1,3,3,1,3,89,0,"ASIA"
"DNK","AFG",1,3,3,1,2,18,0,"ASIA"
"IRL","AFG",1,3,3,3,1,6,0,"ASIA"
"MEX","AFG",1,3,3,1,6,2,0,"ASIA"
"CAN","AFG",1,3,3,2,3,55,0,"ASIA"
"SWE","AFG",1,3,3,3,6,85,0,"ASIA"
"CAN","AFG",1,3,3,3,3,150,0,"ASIA"
"NOR","AFG",1,3,3,1,5,7,0,"ASIA"
"NZL","AFG",1,3,3,2,5,3,0,"ASIA"
"AUS","AFG",1,3,3,3,6,81,0,"ASIA"
"IRL","AFG",1,3,3,2,1,3,0,"ASIA"
"CAN","AFG",1,3,4,3,3,10,0,"ASIA"
"SVK","AFG",1,3,3,2,7,1,0,"ASIA"
"SVK","AFG",1,3,3,2,99,1,0,"ASIA"
"SVK","AFG",1,3,3,3,1,1,0,"ASIA"
"IRL","AFG",1,3,3,2,8,3,0,"ASIA"
"HUN","AFG",1,3,34,2,6,2,0,"ASIA"
"AUS","AFG",1,3,3,1,4,163,0,"ASIA"
"SVK","AFG",1,3,4,1,4,1,0,"ASIA"
"SWE","AFG",1,3,3,2,2,10,0,"ASIA"
"SVK","AFG",1,3,4,1,8,1,0,"ASIA"
"AUS","AFG",1,3,3,1,99,37,0,"ASIA"
"FIN","AFG",1,3,3,2,6,1,0,"ASIA"
"FIN","AFG",1,3,3,3,2,2,0,"ASIA"
"NZL","AFG",1,3,3,3,5,9,0,"ASIA"
"CAN","AFG",1,3,3,1,1,10,0,"ASIA"
"AUS","AFG",1,3,3,1,7,17,0,"ASIA"
"DNK","AFG",1,3,3,1,7,24,0,"ASIA"
"DNK","AFG",1,3,3,2,8,8,0,"ASIA"
"SVK","AFG",1,3,3,3,99,1,0,"ASIA"
"GRC","AFG",1,3,3,1,6,4,0,"ASIA"
"MEX","AFG",1,3,3,3,8,2,0,"ASIA"
"CAN","AFG",1,3,3,1,8,365,0,"ASIA"
"HUN","AFG",1,3,34,1,8,18,0,"ASIA"
"HUN","AFG",1,3,34,1,7,7,0,"ASIA"
"CZE","AFG",1,3,3,3,4,1,0,"ASIA"
"DNK","AFG",1,3,3,2,3,7,0,"ASIA"
"SWE","AFG",1,3,3,2,4,10,0,"ASIA"
"AUS","AFG",1,3,3,3,3,93,0,"ASIA"
"HUN","AFG",1,3,34,1,4,14,0,"ASIA"
"AUS","AFG",1,3,3,2,9,6,0,"ASIA"
"AUS","AFG",1,3,3,2,99,9,0,"ASIA"
"SWE","AFG",1,3,3,2,99,10,0,"ASIA"
"CZE","AFG",1,3,3,1,7,5,0,"ASIA"
"AUS","AFG",1,3,3,3,4,87,0,"ASIA"
"SWE","AFG",1,3,3,1,2,55,0,"ASIA"
"DNK","AFG",1,3,3,3,1,73,0,"ASIA"
"GRC","AFG",1,3,3,1,9,1,0,"ASIA"
"AUS","AFG",1,3,3,1,5,106,0,"ASIA"
"SWE","AFG",1,3,3,3,4,90,0,"ASIA"
"NZL","AFG",1,3,3,3,4,6,0,"ASIA"
"GRC","AFG",1,3,3,3,4,1,0,"ASIA"
"GRC","AFG",1,3,3,1,4,1,0,"ASIA"
"DNK","AFG",1,3,3,2,5,4,0,"ASIA"
"FIN","AFG",1,3,3,2,8,3,0,"ASIA"
"SWE","AFG",1,3,3,1,9,10,0,"ASIA"
"SWE","AFG",1,3,3,1,8,90,0,"ASIA"
"CAN","AFG",1,3,3,1,5,380,0,"ASIA"
"CAN","AFG",1,3,3,3,1,10,0,"ASIA"
"SWE","AFG",1,3,3,1,4,70,0,"ASIA"
"AUS","AFG",1,3,3,1,9,23,0,"ASIA"
"CAN","AFG",1,3,3,1,7,95,0,"ASIA"
"CAN","AFG",1,3,3,1,9,115,0,"ASIA"
