country,coub,fborn,edu_lfs,edu_cen,dos_lfs,dos_cen,sex,number,reg_oecd,reg_regions
"ESP","AND",1,3,3,3,6,2,300,0,"EURO"
"ITA","AND",1,3,3,1,2,1,1,0,"EURO"
"ESP","AND",1,2,2,1,3,1,20,0,"EURO"
"FRA","AND",1,1,1,1,2,1,4,0,"EURO"
"ITA","AND",1,3,4,99,99,2,1,0,"EURO"
"ESP","AND",1,1,1,1,3,1,80,0,"EURO"
"ITA","AND",1,2,2,2,4,1,1,0,"EURO"
"ITA","AND",1,1,1,3,6,2,2,0,"EURO"
"ESP","AND",1,2,2,2,4,1,40,0,"EURO"
"BEL","AND",1,3,3,1,2,2,1,0,"EURO"
"FRA","AND",1,1,1,3,5,1,5,0,"EURO"
"ITA","AND",1,2,2,3,5,2,2,0,"EURO"
"FRA","AND",1,1,1,99,99,2,106,0,"EURO"
"ESP","AND",1,1,1,3,5,1,200,0,"EURO"
"FRA","AND",1,2,2,3,5,1,4,0,"EURO"
"ESP","AND",1,3,3,2,4,1,40,0,"EURO"
"GRC","AND",1,1,1,1,2,1,1,0,"EURO"
"ESP","AND",1,2,2,3,6,1,80,0,"EURO"
"ESP","AND",1,2,2,2,4,2,80,0,"EURO"
"BEL","AND",1,1,1,1,2,2,1,0,"EURO"
"ITA","AND",1,1,1,99,99,1,3,0,"EURO"
"BEL","AND",1,99,99,1,2,2,2,0,"EURO"
"FRA","AND",1,1,1,3,5,2,16,0,"EURO"
"CAN","ANT",1,2,2,3,5,2,15,0,"SCAC"
"BEL","ANT",1,3,4,1,2,2,1,0,"SCAC"
"BEL","ANT",1,3,3,3,6,2,10,0,"SCAC"
"USA","ANT",1,3,3,1,1,1,20,0,"SCAC"
"BEL","ANT",1,1,1,3,5,1,9,0,"SCAC"
"USA","ANT",1,2,2,2,4,2,29,0,"SCAC"
"BEL","ANT",1,1,1,1,2,1,1,0,"SCAC"
"BEL","ANT",1,99,99,1,3,1,1,0,"SCAC"
"USA","ANT",1,1,1,3,6,1,109,0,"SCAC"
"NOR","ANT",1,2,2,3,6,1,8,0,"SCAC"
"BEL","ANT",1,2,2,2,4,1,6,0,"SCAC"
"BEL","ANT",1,2,2,2,4,2,6,0,"SCAC"
"GRC","ANT",1,3,3,3,5,2,1,0,"SCAC"
"LUX","ANT",1,99,99,1,2,1,1,0,"SCAC"
"BEL","ANT",1,3,4,1,1,1,1,0,"SCAC"
"GRC","ANT",1,2,2,99,99,2,1,0,"SCAC"
"USA","ANT",1,2,2,1,3,1,30,0,"SCAC"
"BEL","ANT",1,1,1,1,3,1,5,0,"SCAC"
"FRA","ANT",1,2,2,3,6,2,4,0,"SCAC"
"USA","ANT",1,3,3,1,2,2,20,0,"SCAC"
"FRA","ANT",1,3,34,3,5,1,12,0,"SCAC"
"BEL","ANT",1,1,1,1,3,2,2,0,"SCAC"
"CAN","ANT",1,3,3,2,4,1,10,0,"SCAC"
"BEL","ANT",1,1,1,1,2,2,4,0,"SCAC"
"BEL","ANT",1,3,4,1,2,1,1,0,"SCAC"
"BEL","ANT",1,2,2,1,1,2,4,0,"SCAC"
"GRC","ANT",1,2,2,1,2,2,2,0,"SCAC"
"CAN","ANT",1,3,3,99,99,1,25,0,"SCAC"
"USA","ANT",1,1,1,3,5,2,55,0,"SCAC"
"USA","ANT",1,2,2,3,6,1,320,0,"SCAC"
"BEL","ANT",1,3,4,3,5,1,1,0,"SCAC"
"BEL","ANT",1,99,99,1,1,2,1,0,"SCAC"
"LUX","ANT",1,2,2,3,5,1,1,0,"SCAC"
"CAN","ANT",1,3,3,3,5,2,35,0,"SCAC"
"USA","ANT",1,3,3,2,4,2,79,0,"SCAC"
"BEL","ANT",1,99,99,1,3,2,2,0,"SCAC"
"USA","ANT",1,3,3,3,6,2,345,0,"SCAC"
"BEL","ANT",1,2,2,1,1,1,2,0,"SCAC"
"USA","ANT",1,2,2,3,5,1,139,0,"SCAC"
"USA","ANT",1,3,3,2,4,1,80,0,"SCAC"
"BEL","ANT",1,99,99,2,4,2,3,0,"SCAC"
"BEL","ANT",1,1,1,2,4,1,7,0,"SCAC"
"BEL","ANT",1,99,99,3,5,2,1,0,"SCAC"
"BEL","ANT",1,1,1,1,1,2,1,0,"SCAC"
"FRA","ANT",1,3,34,3,6,1,4,0,"SCAC"
"BEL","ANT",1,99,99,1,2,2,6,0,"SCAC"
"BEL","ANT",1,99,99,1,1,1,5,0,"SCAC"
"NOR","ANT",1,2,2,3,6,2,5,0,"SCAC"
"BEL","ANT",1,99,99,3,6,1,1,0,"SCAC"
"CAN","ANT",1,2,2,2,4,2,10,0,"SCAC"
"FRA","ANT",1,3,34,3,6,2,12,0,"SCAC"
"CAN","ANT",1,2,2,3,6,2,60,0,"SCAC"
"FRA","ANT",1,2,2,2,4,2,4,0,"SCAC"
"CAN","ANT",1,1,1,2,4,1,10,0,"SCAC"
"BEL","ANT",1,3,3,1,1,1,11,0,"SCAC"
"USA","ANT",1,3,3,1,3,1,95,0,"SCAC"
"BEL","ANT",1,3,3,3,5,2,8,0,"SCAC"
"BEL","ANT",1,3,4,1,3,1,1,0,"SCAC"
"BEL","ANT",1,3,3,3,5,1,4,0,"SCAC"
"BEL","ANT",1,1,1,3,6,1,1,0,"SCAC"
"USA","ANT",1,2,2,1,2,2,50,0,"SCAC"
"BEL","ANT",1,99,99,3,5,1,4,0,"SCAC"
"BEL","ANT",1,3,3,3,6,1,10,0,"SCAC"
"BEL","ANT",1,2,2,1,3,1,3,0,"SCAC"
"CAN","ANT",1,2,2,3,6,1,85,0,"SCAC"
"USA","ANT",1,1,1,2,4,1,60,0,"SCAC"
"USA","ANT",1,2,2,3,6,2,365,0,"SCAC"
"USA","ANT",1,3,3,1,3,2,35,0,"SCAC"
"CAN","ANT",1,1,1,3,6,2,45,0,"SCAC"
"BEL","ANT",1,1,1,1,1,1,5,0,"SCAC"
"USA","ANT",1,2,2,1,1,1,35,0,"SCAC"
"USA","ANT",1,3,3,3,5,1,194,0,"SCAC"
"BEL","ANT",1,2,2,1,3,2,3,0,"SCAC"
"USA","ANT",1,2,2,1,2,1,15,0,"SCAC"
"USA","ANT",1,1,1,3,5,1,29,0,"SCAC"
"BEL","ANT",1,2,2,3,6,1,4,0,"SCAC"
"BEL","ANT",1,3,3,1,3,2,6,0,"SCAC"
"CAN","ANT",1,3,3,3,6,2,75,0,"SCAC"
"BEL","ANT",1,3,4,2,4,1,2,0,"SCAC"
"FRA","ANT",1,1,1,99,99,1,8,0,"SCAC"
"FRA","ANT",1,3,34,1,3,2,4,0,"SCAC"
"CAN","ANT",1,3,4,99,99,1,10,0,"SCAC"
"BEL","ANT",1,3,3,2,4,2,9,0,"SCAC"
"BEL","ANT",1,2,2,1,2,1,1,0,"SCAC"
"CAN","ANT",1,3,3,3,6,1,80,0,"SCAC"
"USA","ANT",1,3,3,1,2,1,60,0,"SCAC"
"NOR","ANT",1,3,3,3,6,1,3,0,"SCAC"
"USA","ANT",1,3,3,3,6,1,335,0,"SCAC"
"USA","ANT",1,3,4,1,2,1,10,0,"SCAC"
"BEL","ANT",1,3,3,2,4,1,4,0,"SCAC"
"CAN","ANT",1,3,3,3,5,1,20,0,"SCAC"
"BEL","ANT",1,3,3,1,1,2,9,0,"SCAC"
"FRA","ANT",1,1,1,3,6,2,4,0,"SCAC"
"BEL","ANT",1,3,3,1,2,1,9,0,"SCAC"
"CAN","ANT",1,2,2,99,99,2,10,0,"SCAC"
"GRC","ANT",1,1,1,2,4,1,1,0,"SCAC"
"USA","ANT",1,1,1,2,4,2,34,0,"SCAC"
"FRA","ANT",1,1,1,3,5,2,4,0,"SCAC"
"USA","ANT",1,2,2,1,1,2,55,0,"SCAC"
"FRA","ANT",1,3,34,1,2,1,4,0,"SCAC"
"BEL","ANT",1,1,1,3,6,2,4,0,"SCAC"
"USA","ANT",1,1,1,1,3,1,25,0,"SCAC"
"FRA","ANT",1,2,2,3,6,1,4,0,"SCAC"
"USA","ANT",1,2,2,1,3,2,30,0,"SCAC"
"GRC","ANT",1,2,2,1,3,2,1,0,"SCAC"
"LUX","ANT",1,2,2,3,5,2,1,0,"SCAC"
"BEL","ANT",1,1,1,3,5,2,8,0,"SCAC"
"BEL","ANT",1,3,3,1,2,2,6,0,"SCAC"
"CAN","ANT",1,1,1,2,4,2,10,0,"SCAC"
"LUX","ANT",1,2,2,1,2,2,1,0,"SCAC"
"CAN","ANT",1,3,3,1,2,2,10,0,"SCAC"
"IRL","ANT",1,3,3,1,2,2,6,0,"SCAC"
"BEL","ANT",1,2,2,3,5,2,13,0,"SCAC"
"LUX","ANT",1,2,2,1,3,2,1,0,"SCAC"
"BEL","ANT",1,2,2,3,5,1,9,0,"SCAC"
"USA","ANT",1,2,2,3,5,2,159,0,"SCAC"
"BEL","ANT",1,99,99,2,4,1,5,0,"SCAC"
"BEL","ANT",1,1,1,2,4,2,5,0,"SCAC"
"BEL","ANT",1,3,3,1,3,1,3,0,"SCAC"
"GRC","ANT",1,1,1,2,4,2,1,0,"SCAC"
"USA","ANT",1,3,4,3,5,1,4,0,"SCAC"
"USA","ANT",1,3,3,3,5,2,175,0,"SCAC"
"FRA","ANT",1,3,34,3,5,2,4,0,"SCAC"
"USA","ANT",1,3,3,1,1,2,50,0,"SCAC"
"USA","ANT",1,1,1,1,1,1,60,0,"SCAC"
"USA","ANT",1,1,1,3,6,2,90,0,"SCAC"
"BEL","ANT",1,2,2,1,2,2,8,0,"SCAC"
"LUX","ANT",1,3,3,3,6,2,1,0,"SCAC"
"BEL","ANT",1,99,99,3,6,2,1,0,"SCAC"
"BEL","ANT",1,2,2,3,6,2,2,0,"SCAC"
"CAN","ANT",1,2,2,3,5,1,25,0,"SCAC"
"USA","ANT",1,2,2,2,4,1,45,0,"SCAC"
"GRC","ANT",1,1,1,99,99,1,1,0,"SCAC"
"USA","ANT",1,1,1,1,2,2,15,0,"SCAC"
"BEL","ANT",1,99,99,1,2,1,5,0,"SCAC"
"GRC","ARE",1,1,1,99,99,2,2,0,"ASIA"
"USA","ARE",1,3,4,3,6,1,4,0,"ASIA"
"ITA","ARE",1,2,2,99,99,2,13,0,"ASIA"
"AUS","ARE",1,1,1,2,4,2,5,0,"ASIA"
"USA","ARE",1,3,3,3,6,1,14,0,"ASIA"
"USA","ARE",1,3,3,1,1,1,75,0,"ASIA"
"SWE","ARE",1,1,1,3,5,1,60,0,"ASIA"
"CAN","ARE",1,1,1,3,6,2,10,0,"ASIA"
"NZL","ARE",1,2,2,2,4,2,12,0,"ASIA"
"SWE","ARE",1,1,1,3,5,2,25,0,"ASIA"
"ITA","ARE",1,2,2,3,5,2,3,0,"ASIA"
"BEL","ARE",1,2,2,3,6,2,1,0,"ASIA"
"CAN","ARE",1,1,1,3,5,1,80,0,"ASIA"
"CAN","ARE",1,1,1,3,5,2,70,0,"ASIA"
"BEL","ARE",1,2,2,1,2,2,1,0,"ASIA"
"DNK","ARE",1,1,1,2,4,1,10,0,"ASIA"
"NZL","ARE",1,1,1,2,4,2,3,0,"ASIA"
"AUS","ARE",1,3,3,1,2,1,12,0,"ASIA"
"DNK","ARE",1,2,2,1,2,1,1,0,"ASIA"
"FRA","ARE",1,1,1,99,99,2,12,0,"ASIA"
"CAN","ARE",1,1,1,99,99,2,40,0,"ASIA"
"DNK","ARE",1,99,99,1,2,2,4,0,"ASIA"
"GRC","ARE",1,2,2,99,99,1,5,0,"ASIA"
"CAN","ARE",1,2,2,2,4,1,280,0,"ASIA"
"CAN","ARE",1,3,3,3,5,2,105,0,"ASIA"
"NOR","ARE",1,1,1,3,5,1,4,0,"ASIA"
"GRC","ARE",1,2,2,1,2,1,2,0,"ASIA"
"AUS","ARE",1,2,2,99,99,2,11,0,"ASIA"
"CAN","ARE",1,3,3,3,5,1,150,0,"ASIA"
"ITA","ARE",1,2,2,3,5,1,2,0,"ASIA"
"CAN","ARE",1,3,3,2,4,1,125,0,"ASIA"
"DNK","ARE",1,99,99,3,6,1,1,0,"ASIA"
"CAN","ARE",1,2,2,1,2,1,145,0,"ASIA"
"BEL","ARE",1,3,3,1,3,1,1,0,"ASIA"
"USA","ARE",1,1,1,2,4,1,69,0,"ASIA"
"IRL","ARE",1,2,2,2,4,2,6,0,"ASIA"
"ESP","ARE",1,3,3,1,3,1,20,0,"ASIA"
"FRA","ARE",1,2,2,1,1,2,4,0,"ASIA"
"IRL","ARE",1,1,1,1,3,1,3,0,"ASIA"
"DNK","ARE",1,99,99,1,3,1,1,0,"ASIA"
"SWE","ARE",1,99,99,1,1,2,5,0,"ASIA"
"CAN","ARE",1,2,2,3,5,2,150,0,"ASIA"
"CAN","ARE",1,2,2,3,5,1,160,0,"ASIA"
"ITA","ARE",1,1,1,99,99,1,15,0,"ASIA"
"NZL","ARE",1,2,2,2,4,1,24,0,"ASIA"
"ITA","ARE",1,2,2,3,6,2,1,0,"ASIA"
"DNK","ARE",1,99,99,3,5,2,2,0,"ASIA"
"NOR","ARE",1,2,2,3,5,1,8,0,"ASIA"
"USA","ARE",1,2,2,1,2,2,110,0,"ASIA"
"ITA","ARE",1,2,2,99,99,1,13,0,"ASIA"
"SWE","ARE",1,3,3,1,2,2,5,0,"ASIA"
"FRA","ARE",1,2,2,99,99,1,18,0,"ASIA"
"NZL","ARE",1,3,4,1,1,1,3,0,"ASIA"
"NZL","ARE",1,3,4,1,2,1,3,0,"ASIA"
"DNK","ARE",1,1,1,3,5,1,44,0,"ASIA"
"USA","ARE",1,2,2,2,4,1,290,0,"ASIA"
"AUS","ARE",1,1,1,1,2,1,16,0,"ASIA"
"CAN","ARE",1,2,2,1,3,2,115,0,"ASIA"
"USA","ARE",1,2,2,3,6,1,23,0,"ASIA"
"GRC","ARE",1,2,2,2,4,2,1,0,"ASIA"
"DNK","ARE",1,1,1,1,2,2,4,0,"ASIA"
"FRA","ARE",1,3,34,1,3,1,4,0,"ASIA"
"DNK","ARE",1,2,2,3,5,2,7,0,"ASIA"
"CAN","ARE",1,3,3,1,3,1,50,0,"ASIA"
"AUS","ARE",1,3,3,3,5,2,16,0,"ASIA"
"IRL","ARE",1,2,2,3,5,1,3,0,"ASIA"
"FRA","ARE",1,2,2,1,2,2,12,0,"ASIA"
"CAN","ARE",1,3,3,1,2,1,60,0,"ASIA"
"USA","ARE",1,3,3,3,6,2,55,0,"ASIA"
"CAN","ARE",1,1,1,99,99,1,60,0,"ASIA"
"IRL","ARE",1,1,1,3,5,2,3,0,"ASIA"
"FRA","ARE",1,1,1,1,1,1,4,0,"ASIA"
"SWE","ARE",1,2,2,1,2,2,10,0,"ASIA"
"SWE","ARE",1,3,3,3,5,1,10,0,"ASIA"
"AUS","ARE",1,3,3,1,1,1,20,0,"ASIA"
"AUS","ARE",1,2,2,1,2,1,16,0,"ASIA"
"AUS","ARE",1,1,1,1,1,1,5,0,"ASIA"
"CAN","ARE",1,1,1,1,2,1,130,0,"ASIA"
"IRL","ARE",1,1,1,2,4,2,3,0,"ASIA"
"DNK","ARE",1,99,99,2,4,2,1,0,"ASIA"
"DNK","ARE",1,1,1,3,5,2,28,0,"ASIA"
"IRL","ARE",1,3,3,1,2,1,6,0,"ASIA"
"IRL","ARE",1,2,2,1,3,1,3,0,"ASIA"
"FRA","ARE",1,3,34,99,99,2,13,0,"ASIA"
"GRC","ARE",1,2,2,2,4,1,1,0,"ASIA"
"BEL","ARE",1,3,3,1,1,2,1,0,"ASIA"
"FRA","ARE",1,3,34,2,4,2,4,0,"ASIA"
"ITA","ARE",1,2,2,1,2,1,2,0,"ASIA"
"NZL","ARE",1,3,4,2,4,1,3,0,"ASIA"
"AUS","ARE",1,1,1,99,99,2,5,0,"ASIA"
"SWE","ARE",1,1,1,2,4,1,5,0,"ASIA"
"SWE","ARE",1,2,2,2,4,1,5,0,"ASIA"
"SWE","ARE",1,3,3,3,5,2,5,0,"ASIA"
"AUS","ARE",1,2,2,1,1,2,10,0,"ASIA"
"NOR","ARE",1,99,99,1,1,2,4,0,"ASIA"
"CHE","ARE",1,3,3,99,99,2,215,0,"ASIA"
"SWE","ARE",1,99,99,1,1,1,10,0,"ASIA"
"NZL","ARE",1,2,2,3,5,2,6,0,"ASIA"
"BEL","ARE",1,1,1,3,5,2,1,0,"ASIA"
"AUS","ARE",1,2,2,1,2,2,16,0,"ASIA"
"BEL","ARE",1,99,99,1,3,1,1,0,"ASIA"
"ITA","ARE",1,2,2,2,4,2,2,0,"ASIA"
"BEL","ARE",1,2,2,1,3,1,1,0,"ASIA"
"SWE","ARE",1,99,99,1,3,1,5,0,"ASIA"
"USA","ARE",1,2,2,1,2,1,880,0,"ASIA"
"USA","ARE",1,3,4,2,4,2,4,0,"ASIA"
"USA","ARE",1,1,1,1,2,1,90,0,"ASIA"
"DNK","ARE",1,2,2,2,4,1,1,0,"ASIA"
"BEL","ARE",1,2,2,1,2,1,2,0,"ASIA"
"IRL","ARE",1,2,2,3,5,2,3,0,"ASIA"
"ITA","ARE",1,1,1,99,99,2,11,0,"ASIA"
"GRC","ARE",1,3,3,1,2,1,1,0,"ASIA"
"GRC","ARE",1,1,1,2,4,1,1,0,"ASIA"
"SWE","ARE",1,99,99,1,2,1,5,0,"ASIA"
"AUS","ARE",1,2,2,3,5,2,66,0,"ASIA"
"AUS","ARE",1,1,1,1,1,2,13,0,"ASIA"
"FRA","ARE",1,3,34,2,4,1,1,0,"ASIA"
"USA","ARE",1,3,3,1,1,2,109,0,"ASIA"
"NZL","ARE",1,1,1,1,1,2,3,0,"ASIA"
"DNK","ARE",1,99,99,1,1,2,2,0,"ASIA"
"FRA","ARE",1,3,34,1,3,2,4,0,"ASIA"
"DNK","ARE",1,2,2,2,4,2,3,0,"ASIA"
"CAN","ARE",1,2,2,99,99,2,30,0,"ASIA"
"USA","ARE",1,3,3,1,2,2,75,0,"ASIA"
"FRA","ARE",1,1,1,3,5,2,30,0,"ASIA"
"GRC","ARE",1,1,1,99,99,1,3,0,"ASIA"
"CAN","ARE",1,3,3,3,6,2,30,0,"ASIA"
"DNK","ARE",1,2,2,1,3,1,1,0,"ASIA"
"AUS","ARE",1,99,99,1,1,1,5,0,"ASIA"
"ESP","ARE",1,2,2,3,6,1,40,0,"ASIA"
"SWE","ARE",1,2,2,1,3,2,5,0,"ASIA"
"NZL","ARE",1,3,3,2,4,1,3,0,"ASIA"
"FRA","ARE",1,1,1,1,1,2,4,0,"ASIA"
"AUS","ARE",1,2,2,1,1,1,42,0,"ASIA"
"USA","ARE",1,3,3,1,2,1,164,0,"ASIA"
"BEL","ARE",1,2,2,2,4,1,1,0,"ASIA"
"FRA","ARE",1,1,1,99,99,1,36,0,"ASIA"
"DNK","ARE",1,1,1,1,3,1,1,0,"ASIA"
"GRC","ARE",1,2,2,1,3,2,1,0,"ASIA"
"FRA","ARE",1,3,34,3,5,1,4,0,"ASIA"
"DNK","ARE",1,1,1,3,6,1,4,0,"ASIA"
"BEL","ARE",1,1,1,3,5,1,4,0,"ASIA"
"FRA","ARE",1,1,1,2,4,2,4,0,"ASIA"
"CAN","ARE",1,2,2,2,4,2,185,0,"ASIA"
"GRC","ARE",1,1,1,1,2,1,2,0,"ASIA"
"NZL","ARE",1,2,2,1,2,2,18,0,"ASIA"
"NZL","ARE",1,3,3,1,2,1,3,0,"ASIA"
"NZL","ARE",1,3,3,1,3,2,3,0,"ASIA"
"FRA","ARE",1,1,1,3,6,1,9,0,"ASIA"
"FRA","ARE",1,2,2,3,6,1,8,0,"ASIA"
"AUS","ARE",1,3,3,3,5,1,4,0,"ASIA"
"USA","ARE",1,3,3,1,3,2,40,0,"ASIA"
"ITA","ARE",1,1,1,2,4,2,2,0,"ASIA"
"ITA","ARE",1,2,2,1,1,2,1,0,"ASIA"
"NOR","ARE",1,2,2,3,5,2,9,0,"ASIA"
"GRC","ARE",1,3,3,1,2,2,2,0,"ASIA"
"USA","ARE",1,2,2,3,5,1,250,0,"ASIA"
"USA","ARE",1,2,2,1,3,2,75,0,"ASIA"
"USA","ARE",1,3,4,3,5,1,4,0,"ASIA"
"CAN","ARE",1,3,3,1,2,2,40,0,"ASIA"
"USA","ARE",1,3,3,3,5,2,150,0,"ASIA"
"USA","ARE",1,3,3,1,3,1,240,0,"ASIA"
"USA","ARE",1,3,3,2,4,1,200,0,"ASIA"
"NZL","ARE",1,1,1,1,3,1,3,0,"ASIA"
"NZL","ARE",1,2,2,99,99,1,3,0,"ASIA"
"CAN","ARE",1,3,3,3,6,1,10,0,"ASIA"
"BEL","ARE",1,3,3,3,5,1,2,0,"ASIA"
"IRL","ARE",1,2,2,1,1,2,3,0,"ASIA"
"IRL","ARE",1,2,2,2,4,1,6,0,"ASIA"
"ESP","ARE",1,1,1,3,5,2,40,0,"ASIA"
"NZL","ARE",1,1,1,1,2,1,3,0,"ASIA"
"IRL","ARE",1,2,2,99,99,2,9,0,"ASIA"
"USA","ARE",1,1,1,3,5,2,165,0,"ASIA"
"CAN","ARE",1,3,3,1,3,2,55,0,"ASIA"
"ITA","ARE",1,2,2,2,4,1,2,0,"ASIA"
"FRA","ARE",1,1,1,2,4,1,16,0,"ASIA"
"BEL","ARE",1,99,99,1,1,2,2,0,"ASIA"
"GRC","ARE",1,1,1,3,5,1,2,0,"ASIA"
"SWE","ARE",1,2,2,3,5,2,55,0,"ASIA"
"BEL","ARE",1,3,3,99,99,1,1,0,"ASIA"
"NZL","ARE",1,2,2,1,2,1,21,0,"ASIA"
"USA","ARE",1,1,1,1,2,2,59,0,"ASIA"
"IRL","ARE",1,2,2,99,99,1,12,0,"ASIA"
"BEL","ARE",1,2,2,2,4,2,2,0,"ASIA"
"FRA","ARE",1,2,2,99,99,2,8,0,"ASIA"
"AUS","ARE",1,1,1,1,2,2,4,0,"ASIA"
"USA","ARE",1,2,2,3,5,2,210,0,"ASIA"
"USA","ARE",1,3,3,2,4,2,65,0,"ASIA"
"AUS","ARE",1,1,1,3,5,2,45,0,"ASIA"
"CAN","ARE",1,3,3,99,99,1,40,0,"ASIA"
"DNK","ARE",1,99,99,1,1,1,1,0,"ASIA"
"ITA","ARE",1,3,3,99,99,2,3,0,"ASIA"
"FRA","ARE",1,3,34,99,99,1,9,0,"ASIA"
"FRA","ARE",1,2,2,1,2,1,8,0,"ASIA"
"DNK","ARE",1,2,2,1,2,2,2,0,"ASIA"
"AUS","ARE",1,2,2,3,5,1,87,0,"ASIA"
"SWE","ARE",1,99,99,3,5,1,5,0,"ASIA"
"CAN","ARE",1,2,2,99,99,1,110,0,"ASIA"
"NZL","ARE",1,2,2,1,3,1,15,0,"ASIA"
"FRA","ARE",1,3,34,1,1,1,8,0,"ASIA"
"NZL","ARE",1,99,99,3,5,1,3,0,"ASIA"
"ITA","ARE",1,1,1,3,5,2,1,0,"ASIA"
"GRC","ARE",1,1,1,1,3,1,1,0,"ASIA"
"NOR","ARE",1,99,99,1,1,1,4,0,"ASIA"
"NZL","ARE",1,2,2,1,3,2,21,0,"ASIA"
"USA","ARE",1,1,1,1,3,1,25,0,"ASIA"
"SWE","ARE",1,99,99,3,5,2,5,0,"ASIA"
"DNK","ARE",1,2,2,1,1,2,1,0,"ASIA"
"DNK","ARE",1,99,99,3,5,1,2,0,"ASIA"
"ESP","ARE",1,2,2,1,1,1,20,0,"ASIA"
"BEL","ARE",1,2,2,1,1,2,1,0,"ASIA"
"GRC","ARE",1,3,4,3,5,1,1,0,"ASIA"
"GRC","ARE",1,99,99,2,4,1,1,0,"ASIA"
"USA","ARE",1,3,4,2,4,1,15,0,"ASIA"
"ITA","ARE",1,3,3,1,1,2,1,0,"ASIA"
"AUS","ARE",1,99,99,3,5,2,8,0,"ASIA"
"CAN","ARE",1,2,2,1,3,1,125,0,"ASIA"
"USA","ARE",1,1,1,1,1,2,20,0,"ASIA"
"SWE","ARE",1,99,99,2,4,2,5,0,"ASIA"
"AUS","ARE",1,1,1,1,3,1,9,0,"ASIA"
"DNK","ARE",1,1,1,3,6,2,2,0,"ASIA"
"GRC","ARE",1,2,2,3,6,1,1,0,"ASIA"
"FRA","ARE",1,2,2,2,4,2,4,0,"ASIA"
"DNK","ARE",1,2,2,3,5,1,16,0,"ASIA"
"IRL","ARE",1,3,3,1,3,1,3,0,"ASIA"
"SWE","ARE",1,99,99,1,2,2,10,0,"ASIA"
"SWE","ARE",1,2,2,1,3,1,5,0,"ASIA"
"NZL","ARE",1,99,99,1,3,1,3,0,"ASIA"
"GRC","ARE",1,2,2,1,1,1,1,0,"ASIA"
"USA","ARE",1,1,1,2,4,2,60,0,"ASIA"
"USA","ARE",1,2,2,1,1,1,574,0,"ASIA"
"USA","ARE",1,2,2,1,3,1,310,0,"ASIA"
"AUS","ARE",1,99,99,99,99,2,9,0,"ASIA"
"DNK","ARE",1,99,99,1,3,2,1,0,"ASIA"
"CAN","ARE",1,2,2,1,1,1,10,0,"ASIA"
"BEL","ARE",1,99,99,1,1,1,1,0,"ASIA"
"NZL","ARE",1,2,2,3,5,1,9,0,"ASIA"
"CAN","ARE",1,1,1,1,2,2,90,0,"ASIA"
"GRC","ARE",1,2,2,99,99,2,4,0,"ASIA"
"FRA","ARE",1,2,2,3,5,1,16,0,"ASIA"
"NZL","ARE",1,99,99,1,1,1,3,0,"ASIA"
"USA","ARE",1,3,4,1,1,1,10,0,"ASIA"
"USA","ARE",1,1,1,3,6,2,4,0,"ASIA"
"IRL","ARE",1,3,3,99,99,2,6,0,"ASIA"
"USA","ARE",1,2,2,3,6,2,35,0,"ASIA"
"FRA","ARE",1,1,1,1,3,1,4,0,"ASIA"
"USA","ARE",1,3,3,3,5,1,145,0,"ASIA"
"USA","ARE",1,3,4,1,2,1,10,0,"ASIA"
"USA","ARE",1,3,4,3,5,2,4,0,"ASIA"
"ITA","ARE",1,3,3,2,4,1,1,0,"ASIA"
"BEL","ARE",1,2,2,3,5,1,2,0,"ASIA"
"BEL","ARE",1,99,99,1,2,1,2,0,"ASIA"
"IRL","ARE",1,1,1,1,3,2,3,0,"ASIA"
"IRL","ARE",1,1,1,99,99,2,3,0,"ASIA"
"LUX","ARE",1,99,99,1,2,2,1,0,"ASIA"
"AUS","ARE",1,2,2,2,4,1,5,0,"ASIA"
"CAN","ARE",1,1,1,1,3,2,100,0,"ASIA"
"BEL","ARE",1,3,4,3,5,1,1,0,"ASIA"
"IRL","ARE",1,1,1,99,99,1,3,0,"ASIA"
"LUX","ARE",1,99,99,1,2,1,1,0,"ASIA"
"ITA","ARE",1,3,3,99,99,1,1,0,"ASIA"
"SWE","ARE",1,2,2,3,5,1,35,0,"ASIA"
"AUS","ARE",1,3,3,1,3,1,5,0,"ASIA"
"SWE","ARE",1,99,99,1,3,2,5,0,"ASIA"
"AUS","ARE",1,1,1,3,5,1,66,0,"ASIA"
"IRL","ARE",1,3,3,2,4,2,3,0,"ASIA"
"FRA","ARE",1,3,34,3,5,2,12,0,"ASIA"
"USA","ARE",1,2,2,2,4,2,135,0,"ASIA"
"AUS","ARE",1,1,1,2,4,1,10,0,"ASIA"
"FRA","ARE",1,1,1,3,5,1,44,0,"ASIA"
"GRC","ARE",1,2,2,3,5,1,1,0,"ASIA"
"BEL","ARE",1,2,2,1,1,1,1,0,"ASIA"
"GRC","ARE",1,3,3,3,5,1,1,0,"ASIA"
"ESP","ARE",1,3,3,3,6,2,20,0,"ASIA"
"CAN","ARE",1,1,1,2,4,2,155,0,"ASIA"
"FRA","ARE",1,3,34,1,2,2,8,0,"ASIA"
"NZL","ARE",1,99,99,3,5,2,3,0,"ASIA"
"AUS","ARE",1,3,3,99,99,2,11,0,"ASIA"
"BEL","ARE",1,99,99,3,5,2,2,0,"ASIA"
"CAN","ARE",1,1,1,1,3,1,115,0,"ASIA"
"AUS","ARE",1,3,3,2,4,2,6,0,"ASIA"
