country,coub,fborn,edu_lfs,edu_cen,dos_lfs,dos_cen,sex,number,reg_oecd,reg_regions
"USA","AFG",1,3,4,1,1,1,20,0,"ASIA"
"GRC","AFG",1,2,2,3,6,2,1,0,"ASIA"
"DNK","AFG",1,1,1,2,4,2,134,0,"ASIA"
"DNK","AFG",1,3,3,3,6,2,6,0,"ASIA"
"CHE","AFG",1,1,1,1,3,1,128,0,"ASIA"
"BEL","AFG",1,3,3,1,2,2,7,0,"ASIA"
"DNK","AFG",1,99,99,1,1,1,345,0,"ASIA"
"GRC","AFG",1,2,2,3,5,2,1,0,"ASIA"
"AUS","AFG",1,3,3,2,4,2,202,0,"ASIA"
"FRA","AFG",1,3,34,3,6,2,40,0,"ASIA"
"DNK","AFG",1,1,1,3,6,1,41,0,"ASIA"
"SWE","AFG",1,3,3,3,6,2,5,0,"ASIA"
"USA","AFG",1,1,1,1,2,2,405,0,"ASIA"
"SWE","AFG",1,2,2,1,2,2,95,0,"ASIA"
"NZL","AFG",1,3,3,1,3,2,3,0,"ASIA"
"CAN","AFG",1,1,1,3,6,1,25,0,"ASIA"
"SWE","AFG",1,99,99,2,4,1,60,0,"ASIA"
"DNK","AFG",1,1,1,1,3,2,87,0,"ASIA"
"CHE","AFG",1,2,2,2,4,2,46,0,"ASIA"
"CAN","AFG",1,3,4,1,2,2,10,0,"ASIA"
"FRA","AFG",1,1,1,2,4,1,28,0,"ASIA"
"DNK","AFG",1,99,99,1,2,1,145,0,"ASIA"
"DNK","AFG",1,1,1,2,4,1,128,0,"ASIA"
"AUS","AFG",1,2,2,99,99,1,62,0,"ASIA"
"ITA","AFG",1,3,4,3,6,2,1,0,"ASIA"
"CHE","AFG",1,1,1,3,5,1,116,0,"ASIA"
"ITA","AFG",1,2,2,99,99,2,9,0,"ASIA"
"ITA","AFG",1,3,3,3,5,1,2,0,"ASIA"
"BEL","AFG",1,99,99,1,1,2,5,0,"ASIA"
"CAN","AFG",1,2,2,1,1,1,115,0,"ASIA"
"ITA","AFG",1,1,1,3,6,2,7,0,"ASIA"
"FRA","AFG",1,3,34,2,4,1,58,0,"ASIA"
"BEL","AFG",1,99,99,1,3,1,23,0,"ASIA"
"BEL","AFG",1,1,1,99,99,2,6,0,"ASIA"
"ITA","AFG",1,1,1,1,2,2,2,0,"ASIA"
"NOR","AFG",1,2,2,1,1,2,5,0,"ASIA"
"AUS","AFG",1,2,2,2,4,1,483,0,"ASIA"
"NZL","AFG",1,3,3,3,5,1,3,0,"ASIA"
"SWE","AFG",1,3,3,2,4,1,235,0,"ASIA"
"NOR","AFG",1,2,2,2,4,2,20,0,"ASIA"
"NZL","AFG",1,1,1,3,5,1,3,0,"ASIA"
"AUS","AFG",1,2,2,2,4,2,514,0,"ASIA"
"SWE","AFG",1,1,1,2,4,2,220,0,"ASIA"
"NZL","AFG",1,2,2,3,5,2,12,0,"ASIA"
"NZL","AFG",1,2,2,1,1,1,27,0,"ASIA"
"NZL","AFG",1,1,1,1,1,1,9,0,"ASIA"
"CHE","AFG",1,3,3,99,99,1,48,0,"ASIA"
"USA","AFG",1,2,2,3,6,2,930,0,"ASIA"
"BEL","AFG",1,3,3,1,3,1,19,0,"ASIA"
"FRA","AFG",1,2,2,1,2,2,12,0,"ASIA"
"DNK","AFG",1,1,1,1,2,1,185,0,"ASIA"
"GRC","AFG",1,2,2,1,2,2,1,0,"ASIA"
"BEL","AFG",1,2,2,1,3,1,13,0,"ASIA"
"BEL","AFG",1,99,99,3,6,2,1,0,"ASIA"
"NZL","AFG",1,99,99,1,1,1,18,0,"ASIA"
"DEU","AFG",1,1,,3,,1,10550,0,"ASIA"
"NOR","AFG",1,99,99,1,1,2,506,0,"ASIA"
"BEL","AFG",1,3,3,2,4,1,18,0,"ASIA"
"BEL","AFG",1,2,2,3,5,1,14,0,"ASIA"
"AUS","AFG",1,3,3,3,5,1,297,0,"ASIA"
"BEL","AFG",1,2,2,99,99,2,2,0,"ASIA"
"DNK","AFG",1,1,1,3,5,1,95,0,"ASIA"
"NOR","AFG",1,1,1,1,3,1,15,0,"ASIA"
"USA","AFG",1,3,4,3,5,1,175,0,"ASIA"
"SWE","AFG",1,2,2,1,3,2,90,0,"ASIA"
"IRL","AFG",1,1,1,99,99,1,9,0,"ASIA"
"USA","AFG",1,1,1,1,2,1,129,0,"ASIA"
"AUS","AFG",1,1,1,1,1,2,158,0,"ASIA"
"SWE","AFG",1,99,99,2,4,2,155,0,"ASIA"
"GRC","AFG",1,3,3,1,2,2,4,0,"ASIA"
