country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"AUS","AFG",1,99,99,1,2,69,0,"ASIA"
"USA","AFG",1,3,3,2,2,155,0,"ASIA"
"NOR","AFG",1,3,3,1,1,39,0,"ASIA"
"SWE","AFG",1,1,1,1,1,185,0,"ASIA"
"FIN","AFG",1,2,2,3,1,5,0,"ASIA"
"TUR","AFG",1,99,99,3,2,187,0,"ASIA"
"CHE","AFG",1,99,99,1,1,130,0,"ASIA"
"CZE","AFG",1,2,2,3,2,11,0,"ASIA"
"ITA","AFG",1,2,2,1,2,7,0,"ASIA"
"DNK","AFG",1,3,3,3,1,554,0,"ASIA"
"BEL","AFG",1,99,99,1,1,9,0,"ASIA"
"BEL","AFG",1,2,2,2,2,8,0,"ASIA"
"POL","AFG",1,3,3,99,1,3,0,"ASIA"
"CZE","AFG",1,2,2,2,1,9,0,"ASIA"
"SVK","AFG",1,1,1,3,2,1,0,"ASIA"
"USA","AFG",1,3,4,1,2,50,0,"ASIA"
"CZE","AFG",1,2,2,1,2,10,0,"ASIA"
"SVK","AFG",1,2,2,3,2,1,0,"ASIA"
"CZE","AFG",1,1,1,99,1,2,0,"ASIA"
"CZE","AFG",1,1,1,3,1,5,0,"ASIA"
"POL","AFG",1,3,3,1,2,3,0,"ASIA"
"PRT","AFG",1,3,3,1,1,1,0,"ASIA"
"FIN","AFG",1,3,3,3,1,10,0,"ASIA"
"FIN","AFG",1,1,1,2,2,20,0,"ASIA"
"HUN","AFG",1,3,34,3,2,7,0,"ASIA"
"MEX","AFG",1,99,99,1,1,1,0,"ASIA"
"CZE","AFG",1,1,1,2,2,2,0,"ASIA"
"BEL","AFG",1,99,99,2,1,10,0,"ASIA"
"TUR","AFG",1,99,99,3,1,98,0,"ASIA"
"SWE","AFG",1,1,1,3,2,565,0,"ASIA"
"AUS","AFG",1,3,4,3,1,14,0,"ASIA"
"AUS","AFG",1,2,2,3,1,491,0,"ASIA"
"CAN","AFG",1,2,2,1,1,2235,0,"ASIA"
