country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"CHE","DJI",1,3,4,1,1,4,0,"AFRI"
"DNK","DJI",1,1,1,3,1,2,0,"AFRI"
"GRC","DJI",1,3,4,1,1,1,0,"AFRI"
"FRA","DJI",1,3,34,2,2,45,0,"AFRI"
"IRL","DJI",1,3,3,1,1,3,0,"AFRI"
"BEL","DJI",1,99,99,3,1,1,0,"AFRI"
"CZE","DJI",1,3,3,3,1,1,0,"AFRI"
"FRA","DJI",1,3,34,1,1,398,0,"AFRI"
"FRA","DJI",1,3,34,3,2,135,0,"AFRI"
"GRC","DJI",1,2,2,1,2,5,0,"AFRI"
"FRA","DJI",1,3,34,1,2,306,0,"AFRI"
"CHE","DJI",1,1,1,3,2,4,0,"AFRI"
"FRA","DJI",1,2,2,3,2,309,0,"AFRI"
"GBR","DJI",1,3,34,2,1,3,0,"AFRI"
"CAN","DJI",1,2,2,1,1,45,0,"AFRI"
"AUS","DJI",1,2,2,3,2,4,0,"AFRI"
"FRA","DJI",1,2,2,1,1,400,0,"AFRI"
"FRA","DJI",1,2,2,3,1,347,0,"AFRI"
"GBR","DJI",1,99,99,99,2,3,0,"AFRI"
"GRC","DJI",1,3,3,1,1,3,0,"AFRI"
"SWE","DJI",1,1,1,1,2,5,0,"AFRI"
"SWE","DJI",1,99,99,1,2,5,0,"AFRI"
"AUS","DJI",1,1,1,3,2,9,0,"AFRI"
"SWE","DJI",1,99,99,3,2,10,0,"AFRI"
"ITA","DJI",1,2,2,3,2,6,0,"AFRI"
"SWE","DJI",1,3,3,1,2,5,0,"AFRI"
"USA","DJI",1,1,1,3,2,34,0,"AFRI"
"GBR","DJI",1,2,2,3,1,5,0,"AFRI"
"CHE","DJI",1,3,4,3,2,2,0,"AFRI"
"ITA","DJI",1,1,1,3,2,10,0,"AFRI"
"BEL","DJI",1,3,3,1,1,3,0,"AFRI"
"CZE","DJI",1,2,2,1,1,1,0,"AFRI"
"DNK","DJI",1,99,99,3,1,1,0,"AFRI"
"GBR","DJI",1,99,99,99,1,4,0,"AFRI"
"CZE","DJI",1,1,1,1,1,1,0,"AFRI"
"ITA","DJI",1,1,1,2,1,1,0,"AFRI"
"MEX","DMA",1,99,99,3,2,2,0,"SCAC"
"USA","DMA",1,2,2,3,1,760,0,"SCAC"
"USA","DMA",1,3,3,3,2,230,0,"SCAC"
"CHE","DMA",1,2,2,2,2,1,0,"SCAC"
"BEL","DMA",1,3,3,2,2,1,0,"SCAC"
"FRA","DMA",1,2,2,2,2,19,0,"SCAC"
"GRC","DMA",1,2,2,3,2,83,0,"SCAC"
"USA","DMA",1,1,1,1,1,1270,0,"SCAC"
"USA","DMA",1,1,1,3,1,1000,0,"SCAC"
"GBR","DMA",1,2,2,3,2,173,0,"SCAC"
"CAN","DMA",1,3,3,3,1,70,0,"SCAC"
"GRC","DMA",1,2,2,1,2,58,0,"SCAC"
"FRA","DMA",1,1,1,1,2,68,0,"SCAC"
"USA","DMA",1,3,4,1,1,70,0,"SCAC"
"CAN","DMA",1,1,1,1,2,190,0,"SCAC"
"DNK","DMA",1,2,2,3,2,1,0,"SCAC"
"GBR","DMA",1,2,2,2,2,36,0,"SCAC"
"USA","DMA",1,2,2,1,2,1950,0,"SCAC"
"GBR","DMA",1,99,99,3,2,110,0,"SCAC"
"CAN","DMA",1,3,3,1,2,540,0,"SCAC"
"PRT","DMA",1,1,1,1,1,1,0,"SCAC"
"MEX","DMA",1,1,1,1,2,1,0,"SCAC"
"GBR","DMA",1,2,2,1,2,340,0,"SCAC"
"MEX","DMA",1,3,3,1,2,1,0,"SCAC"
"BEL","DMA",1,2,2,1,2,4,0,"SCAC"
"MEX","DMA",1,99,99,1,1,2,0,"SCAC"
"CHE","DMA",1,3,4,3,2,2,0,"SCAC"
"PRT","DMA",1,2,2,3,2,1,0,"SCAC"
"SWE","DMA",1,2,2,1,1,10,0,"SCAC"
"CAN","DMA",1,2,2,1,2,330,0,"SCAC"
"FRA","DMA",1,2,2,2,1,8,0,"SCAC"
"CAN","DMA",1,2,2,3,2,130,0,"SCAC"
"GBR","DMA",1,1,1,1,2,648,0,"SCAC"
"CZE","DMA",1,1,1,2,1,1,0,"SCAC"
"ITA","DMA",1,1,1,1,2,4,0,"SCAC"
"MEX","DMA",1,99,99,3,1,1,0,"SCAC"
"ESP","DMA",1,1,1,1,1,20,0,"SCAC"
"ESP","DMA",1,3,3,3,2,20,0,"SCAC"
"GRC","DMA",1,1,1,1,2,54,0,"SCAC"
"CHE","DMA",1,1,1,3,1,1,0,"SCAC"
"USA","DMA",1,3,3,2,1,35,0,"SCAC"
"BEL","DMA",1,1,1,1,2,8,0,"SCAC"
"GRC","DMA",1,99,99,3,2,6,0,"SCAC"
"BEL","DMA",1,2,2,1,1,4,0,"SCAC"
"GRC","DMA",1,3,3,1,1,4,0,"SCAC"
"ITA","DMA",1,2,2,3,1,1,0,"SCAC"
"CAN","DMA",1,1,1,3,1,65,0,"SCAC"
"GBR","DMA",1,3,34,3,2,179,0,"SCAC"
"FRA","DMA",1,3,34,1,2,56,0,"SCAC"
"GBR","DMA",1,3,34,3,1,104,0,"SCAC"
"CHE","DMA",1,1,1,1,1,6,0,"SCAC"
"FRA","DMA",1,2,2,3,2,57,0,"SCAC"
"GBR","DMA",1,1,1,2,2,58,0,"SCAC"
"CAN","DMA",1,2,2,1,1,400,0,"SCAC"
"GRC","DMA",1,3,3,1,2,7,0,"SCAC"
"ITA","DMA",1,1,1,1,1,4,0,"SCAC"
"USA","DMA",1,2,2,3,2,1095,0,"SCAC"
"GBR","DMA",1,3,34,2,2,21,0,"SCAC"
"FRA","DMA",1,2,2,1,1,41,0,"SCAC"
"MEX","DMA",1,2,2,99,1,1,0,"SCAC"
"GBR","DMA",1,1,1,3,1,950,0,"SCAC"
"CAN","DMA",1,2,2,2,2,40,0,"SCAC"
"CHE","DMA",1,99,99,3,2,3,0,"SCAC"
"USA","DMA",1,3,4,3,2,4,0,"SCAC"
"ESP","DMA",1,1,1,3,2,220,0,"SCAC"
"CHE","DMA",1,2,2,3,2,4,0,"SCAC"
"GBR","DMA",1,99,99,1,2,95,0,"SCAC"
"USA","DMA",1,3,3,2,2,140,0,"SCAC"
"FRA","DMA",1,3,34,2,2,2,0,"SCAC"
"LUX","DMA",1,2,2,3,2,1,0,"SCAC"
"FRA","DMA",1,1,1,2,1,18,0,"SCAC"
"GRC","DMA",1,1,1,1,1,2,0,"SCAC"
"CHE","DMA",1,2,2,1,1,2,0,"SCAC"
"SWE","DMA",1,2,2,1,2,10,0,"SCAC"
"FRA","DMA",1,1,1,1,1,33,0,"SCAC"
"GBR","DMA",1,2,2,1,1,231,0,"SCAC"
"PRT","DMA",1,1,1,3,2,1,0,"SCAC"
"GRC","DMA",1,2,2,1,1,3,0,"SCAC"
"GRC","DMA",1,1,1,2,1,2,0,"SCAC"
"USA","DMA",1,1,1,3,2,1385,0,"SCAC"
"BEL","DMA",1,99,99,99,2,13,0,"SCAC"
"SWE","DMA",1,1,1,3,1,5,0,"SCAC"
"GRC","DMA",1,3,3,3,2,9,0,"SCAC"
"CAN","DMA",1,2,2,3,1,75,0,"SCAC"
"SWE","DMA",1,3,3,1,1,5,0,"SCAC"
"CHE","DMA",1,99,99,3,1,2,0,"SCAC"
"GBR","DMA",1,3,34,1,2,439,0,"SCAC"
"GBR","DMA",1,2,2,3,1,107,0,"SCAC"
"SWE","DMA",1,99,99,3,1,5,0,"SCAC"
"GBR","DMA",1,1,1,2,1,119,0,"SCAC"
"USA","DMA",1,3,3,1,1,1085,0,"SCAC"
"ESP","DMA",1,3,3,1,1,20,0,"SCAC"
"GBR","DMA",1,1,1,3,2,1149,0,"SCAC"
"USA","DMA",1,1,1,2,2,185,0,"SCAC"
"MEX","DMA",1,3,3,1,1,1,0,"SCAC"
"USA","DMA",1,3,4,1,2,25,0,"SCAC"
"USA","DMA",1,2,2,2,2,215,0,"SCAC"
"BEL","DMA",1,3,3,1,1,1,0,"SCAC"
"BEL","DMA",1,1,1,2,1,3,0,"SCAC"
"GBR","DMA",1,99,99,2,2,13,0,"SCAC"
"ESP","DMA",1,1,1,1,2,60,0,"SCAC"
"DNK","DMA",1,99,99,1,1,1,0,"SCAC"
"BEL","DMA",1,2,2,3,2,2,0,"SCAC"
"USA","DMA",1,1,1,1,2,1090,0,"SCAC"
"GBR","DMA",1,99,99,2,1,21,0,"SCAC"
"BEL","DMA",1,1,1,3,2,3,0,"SCAC"
"CAN","DMA",1,3,3,2,2,40,0,"SCAC"
"CHE","DMA",1,2,2,1,2,6,0,"SCAC"
"GBR","DMA",1,3,34,1,1,222,0,"SCAC"
"LUX","DMA",1,1,1,3,1,1,0,"SCAC"
"BEL","DMA",1,2,2,3,1,3,0,"SCAC"
"ESP","DMA",1,1,1,3,1,80,0,"SCAC"
"ESP","DMA",1,1,1,2,2,40,0,"SCAC"
"USA","DMA",1,2,2,2,1,190,0,"SCAC"
"CAN","DMA",1,2,2,2,1,35,0,"SCAC"
"ITA","DMA",1,1,1,3,2,10,0,"SCAC"
"ITA","DMA",1,2,2,1,1,1,0,"SCAC"
"GRC","DMA",1,3,3,3,1,1,0,"SCAC"
"DNK","DMA",1,3,3,1,2,2,0,"SCAC"
"FRA","DMA",1,2,2,1,2,69,0,"SCAC"
"CAN","DMA",1,1,1,2,1,20,0,"SCAC"
"GRC","DMA",1,1,1,2,2,10,0,"SCAC"
"CHE","DMA",1,1,1,2,2,4,0,"SCAC"
"BEL","DMA",1,1,1,2,2,3,0,"SCAC"
"LUX","DMA",1,1,1,3,2,1,0,"SCAC"
"DNK","DMA",1,2,2,1,1,3,0,"SCAC"
"FRA","DMA",1,3,34,3,1,23,0,"SCAC"
"LUX","DMA",1,2,2,1,2,1,0,"SCAC"
"CHE","DMA",1,1,1,1,2,19,0,"SCAC"
"LUX","DMA",1,2,2,3,1,1,0,"SCAC"
"CHE","DMA",1,3,4,1,2,1,0,"SCAC"
"GRC","DMA",1,2,2,3,1,3,0,"SCAC"
"LUX","DMA",1,99,99,3,2,1,0,"SCAC"
"GBR","DMA",1,2,2,2,1,36,0,"SCAC"
"CAN","DMA",1,1,1,2,2,15,0,"SCAC"
"ESP","DMA",1,2,2,1,2,60,0,"SCAC"
"CAN","DMA",1,3,3,2,1,25,0,"SCAC"
"CAN","DMA",1,3,3,3,2,105,0,"SCAC"
"ITA","DMA",1,3,3,1,2,1,0,"SCAC"
"BEL","DMA",1,99,99,99,1,1,0,"SCAC"
"CHE","DMA",1,1,1,3,2,8,0,"SCAC"
"GBR","DMA",1,99,99,99,2,197,0,"SCAC"
"USA","DMA",1,2,2,1,1,2030,0,"SCAC"
"SWE","DMA",1,2,2,3,1,5,0,"SCAC"
"GRC","DMA",1,1,1,3,1,13,0,"SCAC"
"GBR","DMA",1,1,1,1,1,805,0,"SCAC"
"BEL","DMA",1,1,1,1,1,1,0,"SCAC"
"USA","DMA",1,3,3,3,1,190,0,"SCAC"
"BEL","DMA",1,99,99,1,2,2,0,"SCAC"
"MEX","DMA",1,1,1,3,2,5,0,"SCAC"
"MEX","DMA",1,1,1,3,1,4,0,"SCAC"
"MEX","DMA",1,2,2,1,1,3,0,"SCAC"
"MEX","DMA",1,2,2,3,1,6,0,"SCAC"
"MEX","DMA",1,2,2,3,2,14,0,"SCAC"
"GBR","DMA",1,99,99,3,1,130,0,"SCAC"
"FRA","DMA",1,1,1,3,2,48,0,"SCAC"
"ESP","DMA",1,2,2,2,1,20,0,"SCAC"
"ITA","DMA",1,2,2,1,2,1,0,"SCAC"
"SWE","DMA",1,1,1,1,1,5,0,"SCAC"
"CHE","DMA",1,99,99,1,1,2,0,"SCAC"
"FRA","DMA",1,2,2,3,1,29,0,"SCAC"
"USA","DMA",1,1,1,2,1,145,0,"SCAC"
"MEX","DMA",1,1,1,1,1,8,0,"SCAC"
"MEX","DMA",1,3,4,3,1,1,0,"SCAC"
"GRC","DMA",1,2,2,2,1,1,0,"SCAC"
"ITA","DMA",1,1,1,2,2,3,0,"SCAC"
"FRA","DMA",1,1,1,3,1,21,0,"SCAC"
"GBR","DMA",1,3,34,2,1,29,0,"SCAC"
"FRA","DMA",1,3,34,3,2,29,0,"SCAC"
"LUX","DMA",1,2,2,1,1,1,0,"SCAC"
"GRC","DMA",1,1,1,3,2,94,0,"SCAC"
"BEL","DMA",1,3,3,3,2,2,0,"SCAC"
"CAN","DMA",1,1,1,3,2,175,0,"SCAC"
"GBR","DMA",1,99,99,1,1,204,0,"SCAC"
"MEX","DMA",1,3,3,3,1,2,0,"SCAC"
"FRA","DMA",1,1,1,2,2,42,0,"SCAC"
"BEL","DMA",1,2,2,2,2,2,0,"SCAC"
"ITA","DMA",1,1,1,3,1,2,0,"SCAC"
"CHE","DMA",1,99,99,1,2,6,0,"SCAC"
"GRC","DMA",1,2,2,2,2,11,0,"SCAC"
"GBR","DMA",1,99,99,99,1,188,0,"SCAC"
"ITA","DMA",1,1,1,2,1,2,0,"SCAC"
"ITA","DMA",1,2,2,3,2,1,0,"SCAC"
"MEX","DMA",1,3,3,3,2,1,0,"SCAC"
"LUX","DMA",1,1,1,1,2,2,0,"SCAC"
"CAN","DMA",1,3,3,1,1,280,0,"SCAC"
"FRA","DMA",1,3,34,1,1,57,0,"SCAC"
"GRC","DMA",1,99,99,1,2,2,0,"SCAC"
"USA","DMA",1,3,3,1,2,1485,0,"SCAC"
"CAN","DMA",1,1,1,1,1,165,0,"SCAC"
"GRC","DNK",1,1,1,1,2,13,1,"EURO"
"FIN","DNK",1,1,1,2,1,5,1,"EURO"
"NOR","DNK",1,3,4,1,1,135,1,"EURO"
"LUX","DNK",1,1,1,2,1,1,1,"EURO"
"AUT","DNK",1,3,34,3,1,15,1,"EURO"
"AUT","DNK",1,3,34,2,1,2,1,"EURO"
"SWE","DNK",1,3,4,1,1,220,1,"EURO"
"GRC","DNK",1,3,4,3,1,1,1,"EURO"
"TUR","DNK",1,2,2,2,1,62,1,"EURO"
"AUS","DNK",1,1,1,1,2,513,1,"EURO"
"AUT","DNK",1,1,1,1,1,71,1,"EURO"
"CHE","DNK",1,2,2,1,1,306,1,"EURO"
"TUR","DNK",1,99,99,2,1,7,1,"EURO"
"FIN","DNK",1,2,2,1,2,35,1,"EURO"
"CHE","DNK",1,2,2,3,2,481,1,"EURO"
"IRL","DNK",1,1,1,1,2,9,1,"EURO"
"ITA","DNK",1,2,2,2,2,43,1,"EURO"
"BEL","DNK",1,99,99,1,1,11,1,"EURO"
"NZL","DNK",1,3,3,1,2,93,1,"EURO"
"CHE","DNK",1,2,2,3,1,62,1,"EURO"
"NOR","DNK",1,1,1,1,1,886,1,"EURO"
"ITA","DNK",1,2,2,1,2,352,1,"EURO"
"NOR","DNK",1,3,3,3,2,787,1,"EURO"
"MEX","DNK",1,3,4,1,2,5,1,"EURO"
"LUX","DNK",1,99,99,3,2,51,1,"EURO"
"PRT","DNK",1,1,1,2,1,1,1,"EURO"
"DNK","DNK",0,3,3,3,2,60405,1,"EURO"
"IRL","DNK",1,1,1,3,2,21,1,"EURO"
"USA","DNK",1,2,2,2,1,105,1,"EURO"
"IRL","DNK",1,2,2,1,2,78,1,"EURO"
"DNK","DNK",0,3,4,2,2,35,1,"EURO"
"NZL","DNK",1,2,2,1,1,189,1,"EURO"
"CHE","DNK",1,1,1,3,1,41,1,"EURO"
"USA","DNK",1,1,1,3,1,1370,1,"EURO"
"SWE","DNK",1,3,3,3,2,1200,1,"EURO"
"CHE","DNK",1,3,4,3,2,108,1,"EURO"
"NZL","DNK",1,3,3,2,2,6,1,"EURO"
"AUS","DNK",1,2,2,99,2,5,1,"EURO"
"USA","DNK",1,1,1,1,2,444,1,"EURO"
"POL","DNK",1,99,99,99,1,6,1,"EURO"
"USA","DNK",1,3,3,2,1,180,1,"EURO"
"ITA","DNK",1,3,4,1,2,33,1,"EURO"
"ESP","DNK",1,2,2,2,1,40,1,"EURO"
"NOR","DNK",1,3,3,2,2,35,1,"EURO"
"AUT","DNK",1,1,1,2,2,17,1,"EURO"
"GBR","DNK",1,2,2,2,1,68,1,"EURO"
"CHE","DNK",1,99,99,3,1,27,1,"EURO"
"TUR","DNK",1,1,1,1,1,62,1,"EURO"
"ESP","DNK",1,3,3,3,2,340,1,"EURO"
"CAN","DNK",1,2,2,2,1,100,1,"EURO"
"LUX","DNK",1,2,2,3,2,104,1,"EURO"
"NZL","DNK",1,3,3,1,1,99,1,"EURO"
"MEX","DNK",1,3,4,1,1,7,1,"EURO"
"GBR","DNK",1,99,99,3,1,91,1,"EURO"
"CHE","DNK",1,1,1,1,2,191,1,"EURO"
"DNK","DNK",0,99,99,2,1,1002,1,"EURO"
"AUS","DNK",1,3,4,3,1,5,1,"EURO"
"NOR","DNK",1,2,2,3,1,1219,1,"EURO"
"CZE","DNK",1,2,2,2,1,1,1,"EURO"
"LUX","DNK",1,3,3,3,1,14,1,"EURO"
"POL","DNK",1,3,3,2,1,3,1,"EURO"
"POL","DNK",1,2,2,99,1,3,1,"EURO"
"DNK","DNK",0,1,1,3,1,254207,1,"EURO"
"USA","DNK",1,1,1,1,1,595,1,"EURO"
"PRT","DNK",1,2,2,3,2,32,1,"EURO"
"DNK","DNK",0,3,3,1,1,292456,1,"EURO"
"GRC","DNK",1,1,1,2,2,5,1,"EURO"
"LUX","DNK",1,1,1,1,2,3,1,"EURO"
"USA","DNK",1,2,2,1,1,2740,1,"EURO"
"SVK","DNK",1,1,1,3,1,1,1,"EURO"
"FRA","DNK",1,3,34,1,1,651,1,"EURO"
"FIN","DNK",1,2,2,2,1,10,1,"EURO"
"LUX","DNK",1,1,1,3,2,21,1,"EURO"
"BEL","DNK",1,3,3,2,2,32,1,"EURO"
"LUX","DNK",1,3,3,3,2,78,1,"EURO"
"POL","DNK",1,3,4,1,1,3,1,"EURO"
"LUX","DNK",1,99,99,1,2,67,1,"EURO"
"GRC","DNK",1,3,3,3,1,17,1,"EURO"
"TUR","DNK",1,2,2,2,2,34,1,"EURO"
"IRL","DNK",1,3,3,2,2,3,1,"EURO"
"NOR","DNK",1,99,99,3,1,763,1,"EURO"
"ITA","DNK",1,3,3,1,1,147,1,"EURO"
"POL","DNK",1,1,1,3,1,69,1,"EURO"
"CAN","DNK",1,1,1,1,2,585,1,"EURO"
"POL","DNK",1,1,1,3,2,234,1,"EURO"
"ITA","DNK",1,1,1,1,2,99,1,"EURO"
"FRA","DNK",1,1,1,3,2,449,1,"EURO"
"AUS","DNK",1,3,3,2,1,28,1,"EURO"
"NZL","DNK",1,99,99,2,2,6,1,"EURO"
"SVK","DNK",1,2,2,3,2,1,1,"EURO"
"TUR","DNK",1,3,3,1,2,85,1,"EURO"
"AUT","DNK",1,2,2,3,1,26,1,"EURO"
"DNK","DNK",0,3,4,1,2,2214,1,"EURO"
"DNK","DNK",0,1,1,3,2,418819,1,"EURO"
"CAN","DNK",1,2,2,3,2,1490,1,"EURO"
"FRA","DNK",1,3,34,3,1,365,1,"EURO"
"SWE","DNK",1,1,1,3,1,2580,1,"EURO"
"NZL","DNK",1,3,4,2,1,3,1,"EURO"
"GRC","DNK",1,3,4,1,1,5,1,"EURO"
"LUX","DNK",1,2,2,1,2,148,1,"EURO"
"CAN","DNK",1,3,3,3,2,1085,1,"EURO"
"AUS","DNK",1,3,3,2,2,22,1,"EURO"
"POL","DNK",1,2,2,99,2,6,1,"EURO"
"FIN","DNK",1,3,3,1,2,30,1,"EURO"
"SWE","DNK",1,3,4,2,1,5,1,"EURO"
"AUS","DNK",1,1,1,2,2,39,1,"EURO"
"PRT","DNK",1,3,4,3,2,3,1,"EURO"
"HUN","DNK",1,1,1,1,1,4,1,"EURO"
"GBR","DNK",1,3,34,1,1,2563,1,"EURO"
"CHE","DNK",1,1,1,2,1,6,1,"EURO"
"AUS","DNK",1,3,4,1,1,42,1,"EURO"
"POL","DNK",1,2,2,2,2,3,1,"EURO"
"NZL","DNK",1,3,3,3,1,48,1,"EURO"
"USA","DNK",1,3,4,2,1,15,1,"EURO"
"POL","DNK",1,1,1,2,2,3,1,"EURO"
"CZE","DNK",1,1,1,3,1,1,1,"EURO"
"CZE","DNK",1,2,2,1,1,20,1,"EURO"
"CZE","DNK",1,2,2,1,2,7,1,"EURO"
"FIN","DNK",1,2,2,3,2,30,1,"EURO"
"USA","DNK",1,1,1,2,2,15,1,"EURO"
"CAN","DNK",1,1,1,3,2,1865,1,"EURO"
"TUR","DNK",1,2,2,1,1,108,1,"EURO"
"GBR","DNK",1,1,1,2,2,39,1,"EURO"
"SWE","DNK",1,1,1,3,2,2760,1,"EURO"
"BEL","DNK",1,3,4,3,1,2,1,"EURO"
"NOR","DNK",1,3,4,3,1,10,1,"EURO"
"NZL","DNK",1,2,2,3,2,156,1,"EURO"
"IRL","DNK",1,1,1,2,1,3,1,"EURO"
"IRL","DNK",1,2,2,2,1,3,1,"EURO"
"IRL","DNK",1,3,3,3,2,48,1,"EURO"
"IRL","DNK",1,99,99,1,1,12,1,"EURO"
"DNK","DNK",0,2,2,3,2,174513,1,"EURO"
"GRC","DNK",1,3,4,1,2,3,1,"EURO"
"AUS","DNK",1,99,99,2,1,14,1,"EURO"
"AUS","DNK",1,2,2,99,1,13,1,"EURO"
"BEL","DNK",1,1,1,99,1,1,1,"EURO"
"TUR","DNK",1,1,1,3,1,180,1,"EURO"
"AUS","DNK",1,3,3,3,1,173,1,"EURO"
"DNK","DNK",0,99,99,3,2,127323,1,"EURO"
"USA","DNK",1,3,3,2,2,125,1,"EURO"
"NOR","DNK",1,1,1,2,2,22,1,"EURO"
"NOR","DNK",1,2,2,3,2,1620,1,"EURO"
"AUS","DNK",1,99,99,3,1,187,1,"EURO"
"NZL","DNK",1,2,2,2,2,6,1,"EURO"
"PRT","DNK",1,3,4,3,1,6,1,"EURO"
"CHE","DNK",1,3,4,1,2,267,1,"EURO"
"DNK","DNK",0,2,2,1,1,678547,1,"EURO"
"SVK","DNK",1,3,3,1,1,4,1,"EURO"
"FIN","DNK",1,1,1,3,1,85,1,"EURO"
"CAN","DNK",1,2,2,3,1,1865,1,"EURO"
"GRC","DNK",1,2,2,2,1,13,1,"EURO"
"MEX","DNK",1,3,3,3,1,18,1,"EURO"
"BEL","DNK",1,3,3,3,1,39,1,"EURO"
"BEL","DNK",1,2,2,99,1,1,1,"EURO"
"CHE","DNK",1,2,2,2,1,15,1,"EURO"
"AUS","DNK",1,3,3,1,2,751,1,"EURO"
"MEX","DNK",1,2,2,3,1,7,1,"EURO"
"PRT","DNK",1,3,3,3,1,20,1,"EURO"
"AUS","DNK",1,2,2,2,2,34,1,"EURO"
"GBR","DNK",1,2,2,3,2,1399,1,"EURO"
"TUR","DNK",1,3,4,2,1,2,1,"EURO"
"MEX","DNK",1,1,1,1,2,5,1,"EURO"
"FIN","DNK",1,2,2,1,1,60,1,"EURO"
"AUT","DNK",1,2,2,2,1,14,1,"EURO"
"TUR","DNK",1,3,3,3,1,148,1,"EURO"
"MEX","DNK",1,2,2,3,2,16,1,"EURO"
"SWE","DNK",1,1,1,1,1,1975,1,"EURO"
"BEL","DNK",1,99,99,99,2,511,1,"EURO"
"IRL","DNK",1,2,2,1,1,57,1,"EURO"
"USA","DNK",1,3,3,3,2,2820,1,"EURO"
"BEL","DNK",1,2,2,1,2,96,1,"EURO"
"CZE","DNK",1,3,3,3,1,1,1,"EURO"
"SWE","DNK",1,2,2,2,1,250,1,"EURO"
"SWE","DNK",1,99,99,3,1,4910,1,"EURO"
"FRA","DNK",1,1,1,1,2,87,1,"EURO"
"AUS","DNK",1,99,99,99,2,46,1,"EURO"
"DNK","DNK",0,99,99,3,1,68432,1,"EURO"
"IRL","DNK",1,1,1,1,1,18,1,"EURO"
"SWE","DNK",1,2,2,1,2,3390,1,"EURO"
"HUN","DNK",1,1,1,3,2,8,1,"EURO"
"IRL","DNK",1,99,99,3,1,9,1,"EURO"
"CZE","DNK",1,3,3,1,1,30,1,"EURO"
"SWE","DNK",1,3,3,1,2,2230,1,"EURO"
"LUX","DNK",1,3,3,2,1,1,1,"EURO"
"HUN","DNK",1,3,34,3,2,6,1,"EURO"
"ITA","DNK",1,3,4,2,1,2,1,"EURO"
"CZE","DNK",1,3,4,1,1,2,1,"EURO"
"FIN","DNK",1,1,1,1,1,105,1,"EURO"
"FRA","DNK",1,3,34,2,2,98,1,"EURO"
"BEL","DNK",1,2,2,3,1,29,1,"EURO"
"ESP","DNK",1,1,1,3,1,700,1,"EURO"
"BEL","DNK",1,2,2,2,2,11,1,"EURO"
"CHE","DNK",1,3,4,1,1,461,1,"EURO"
"IRL","DNK",1,3,3,1,2,123,1,"EURO"
"TUR","DNK",1,3,4,2,2,1,1,"EURO"
"ESP","DNK",1,1,1,1,2,160,1,"EURO"
"MEX","DNK",1,1,1,2,1,1,1,"EURO"
"PRT","DNK",1,3,4,2,1,1,1,"EURO"
"BEL","DNK",1,99,99,99,1,392,1,"EURO"
"AUS","DNK",1,1,1,2,1,61,1,"EURO"
"LUX","DNK",1,3,3,1,1,273,1,"EURO"
"SWE","DNK",1,2,2,1,1,4065,1,"EURO"
"ESP","DNK",1,2,2,3,2,580,1,"EURO"
"TUR","DNK",1,99,99,1,2,2,1,"EURO"
"SVK","DNK",1,3,3,1,2,1,1,"EURO"
"AUS","DNK",1,1,1,1,1,497,1,"EURO"
"CAN","DNK",1,3,3,1,2,1735,1,"EURO"
"ESP","DNK",1,3,4,1,1,40,1,"EURO"
"ESP","DNK",1,3,3,2,1,20,1,"EURO"
"ESP","DNK",1,3,3,1,1,400,1,"EURO"
"ESP","DNK",1,2,2,1,2,280,1,"EURO"
"AUS","DNK",1,99,99,2,2,13,1,"EURO"
"ESP","DNK",1,1,1,2,2,60,1,"EURO"
"ESP","DNK",1,1,1,2,1,100,1,"EURO"
"LUX","DNK",1,99,99,2,1,4,1,"EURO"
"ITA","DNK",1,3,3,2,2,14,1,"EURO"
"GBR","DNK",1,2,2,1,1,987,1,"EURO"
"PRT","DNK",1,1,1,3,1,27,1,"EURO"
"CHE","DNK",1,99,99,1,2,54,1,"EURO"
"DNK","DNK",0,3,3,2,2,7593,1,"EURO"
"ITA","DNK",1,3,4,1,1,55,1,"EURO"
"DNK","DNK",0,3,3,2,1,6199,1,"EURO"
"ITA","DNK",1,3,3,3,1,40,1,"EURO"
"TUR","DNK",1,3,3,1,1,121,1,"EURO"
"ITA","DNK",1,3,3,2,1,2,1,"EURO"
"USA","DNK",1,3,4,3,1,129,1,"EURO"
"SWE","DNK",1,1,1,1,2,1245,1,"EURO"
"GRC","DNK",1,1,1,2,1,2,1,"EURO"
"HUN","DNK",1,2,2,3,2,8,1,"EURO"
"BEL","DNK",1,99,99,3,2,17,1,"EURO"
"AUS","DNK",1,3,4,1,2,17,1,"EURO"
"SWE","DNK",1,3,3,2,1,75,1,"EURO"
"AUS","DNK",1,2,2,1,1,1536,1,"EURO"
"USA","DNK",1,1,1,3,2,1969,1,"EURO"
"ESP","DNK",1,3,3,2,2,80,1,"EURO"
"POL","DNK",1,3,3,1,2,12,1,"EURO"
"AUS","DNK",1,99,99,1,2,259,1,"EURO"
"USA","DNK",1,3,4,1,1,499,1,"EURO"
"AUS","DNK",1,99,99,99,1,29,1,"EURO"
"LUX","DNK",1,1,1,1,1,8,1,"EURO"
"NOR","DNK",1,3,3,1,1,1666,1,"EURO"
"IRL","DNK",1,2,2,3,2,39,1,"EURO"
"FRA","DNK",1,2,2,2,2,46,1,"EURO"
"TUR","DNK",1,1,1,1,2,72,1,"EURO"
"ESP","DNK",1,2,2,3,1,400,1,"EURO"
"GBR","DNK",1,99,99,2,2,16,1,"EURO"
"ESP","DNK",1,1,1,1,1,300,1,"EURO"
